author_id,publication_year,institution_ids,institution_names,institution_categories
A5084104975,2022,I145311948,Johns Hopkins University,education;unknown
A5067187716,2022,,,unknown
A5012652561,2022,,,unknown
A5035914396,2022,,,unknown
A5035174955,2022,,,unknown
A5055592482,2022,I1291425158;I4210113520,Brain (Germany);Google (United States),company;unknown
A5062886906,2022,,,unknown
A5087591662,2022,,,unknown
A5072322524,2022,I47508984,Imperial College London,education;unknown
A5009239144,2022,,,unknown
A5018830387,2022,,,unknown
A5056645742,2022,,,unknown
A5014479963,2022,,,unknown
A5111226805,2022,,,unknown
A5083142530,2022,I32480017,Florida Polytechnic University,education
A5082800184,2022,I2613432,University of South Florida,education
A5009724487,2022,,,unknown
A5100748931,2022,,,unknown
A5063213878,2022,,,unknown
A5076943072,2022,,,unknown
A5086688453,2022,,,unknown
A5087201837,2022,,,unknown
A5010396788,2022,,,unknown
A5034534999,2022,,,unknown
A5022190254,2022,,,unknown
A5068508539,2022,I1291425158;I36788626;I4210103399;I79576946,California University of Pennsylvania;Google (United States);Saudi Heart Association;University of Pennsylvania,company;education;nonprofit;unknown
A5022455158,2022,I1291425158;I4210148186,Google (Canada);Google (United States),company;unknown
A5036374472,2022,,,unknown
A5014971774,2022,,,unknown
A5055940122,2022,,,unknown
A5046333438,2022,,,unknown
A5045383831,2022,,,unknown
A5005349853,2022,,,unknown
A5022200342,2022,,,unknown
A5079837530,2022,,,unknown
A5082512329,2022,I1291425158,Google (United States),company;unknown
A5007990046,2022,,,unknown
A5035123135,2022,I1291425158;I4210148186,Google (Canada);Google (United States),company;unknown
A5103947107,2022,I1291425158;I4210148186,Google (Canada);Google (United States),company;unknown
A5019426692,2022,I32971472,Yale University,education
A5049597319,2022,I32971472,Yale University,education
A5078468272,2022,I32971472,Yale University,education
A5088607405,2022,I32971472,Yale University,education
A5049490816,2022,I32971472,Yale University,education
A5109921699,2022,I32971472,Yale University,education
A5012426158,2022,I100930933;I181231927;I32971472,National University of Ireland;University College Dublin;Yale University,education
A5019138857,2022,,,unknown
A5091262280,2022,,,unknown
A5086904495,2022,,,unknown
A5063273007,2022,I4654613,University of Warsaw,education
A5008281236,2022,I142263535,University of Nottingham,education
A5030812622,2022,I172675005,Nanyang Technological University,education
A5075948339,2022,I172675005,Nanyang Technological University,education
A5005626854,2022,I172675005,Nanyang Technological University,education;unknown
A5100406050,2022,I172675005,Nanyang Technological University,education;unknown
A5024901763,2022,I1291425158,Google (United States),company;unknown
A5083358660,2022,,,unknown
A5100761698,2022,,,unknown
A5072217103,2022,,,unknown
A5058579129,2022,,,unknown
A5036018012,2022,,,unknown
A5002183320,2022,I1291425158,Google (United States),company;unknown
A5018162534,2022,I74775410,Rice University,education;unknown
A5004845763,2022,I74775410,Rice University,education
A5037289065,2022,,,unknown
A5072713767,2022,I74775410,Rice University,education;unknown
A5091224038,2022,,,unknown
A5103033393,2022,,,unknown
A5113854698,2022,,,unknown
A5052645158,2022,I4210103399,Saudi Heart Association,nonprofit;unknown
A5030441349,2022,,,unknown
A5059753414,2022,,,unknown
A5050581734,2022,,,unknown
A5010086803,2022,,,unknown
A5035369215,2022,I4210103399,Saudi Heart Association,nonprofit;unknown
A5127776837,2022,,,unknown
A5127781440,2022,,,unknown
A5065435799,2022,,,unknown
A5127787387,2022,,,unknown
A5127829260,2022,,,unknown
A5127856615,2022,,,unknown
A5127804123,2022,,,unknown
A5127833687,2022,,,unknown
A5127862475,2022,,,unknown
A5103028641,2022,,,unknown
A5100445028,2022,,,unknown
A5023802054,2022,I36788626;I4210103399,California University of Pennsylvania;Saudi Heart Association,education;nonprofit;unknown
A5021798545,2022,,,unknown
A5022183918,2022,,,unknown
A5100665863,2022,I157725225,University of Illinois Urbana-Champaign,education;unknown
A5101880377,2022,I157725225,University of Illinois Urbana-Champaign,education;unknown
A5073309846,2022,I202697423;I4210100468;I54157616,Swiss Finance Institute;University Hospital of Zurich;University of Zurich,education;unknown
A5112307326,2022,I24185976;I64852412,Sichuan University;Sichuan University of Science and Engineering,education
A5037968183,2022,I24185976;I64852412,Sichuan University;Sichuan University of Science and Engineering,education
A5100388188,2022,I24185976;I64852412,Sichuan University;Sichuan University of Science and Engineering,education
A5055241858,2022,I4210100430;I5124864,Google (Switzerland);École Polytechnique Fédérale de Lausanne,company;education;unknown
A5101842429,2022,I4210100430,Google (Switzerland),company;unknown
A5091708404,2022,I4210100430,Google (Switzerland),company;unknown
A5073756389,2022,I5124864,École Polytechnique Fédérale de Lausanne,education;unknown
A5002731966,2022,,,unknown
A5108138075,2022,,,unknown
A5101977008,2022,,,unknown
A5076814527,2022,,,unknown
A5009823475,2022,,,unknown
A5010465328,2022,I151746483;I4210167039,ServiceNow (United States);University of Waterloo,company;education;unknown
A5051865195,2022,I151746483;I4210167039,ServiceNow (United States);University of Waterloo,company;education;unknown
A5103191934,2022,I151746483;I4210167039,ServiceNow (United States);University of Waterloo,company;education;unknown
A5028905152,2022,I151746483;I4210167039,ServiceNow (United States);University of Waterloo,company;education;unknown
A5076105858,2022,I151746483;I4210167039,ServiceNow (United States);University of Waterloo,company;education;unknown
A5104269345,2022,I151746483;I4210167039,ServiceNow (United States);University of Waterloo,company;education;unknown
A5054520530,2022,I100066346;I8087733,University of Stuttgart;University of Tübingen,education;unknown
A5036718594,2022,I36258959,University of California San Diego,education;unknown
A5040448723,2022,I4210137306;I97018004,Stanford Medicine;Stanford University,education;healthcare
A5089823903,2022,I2250653659,Tencent (China),company
A5074094490,2022,I183067930;I2250653659,Shanghai Jiao Tong University;Tencent (China),company;education
A5100321391,2022,I2250653659,Tencent (China),company
A5102867157,2022,I136199984;I2250653659,Harvard University;Tencent (China),company;education
A5110628758,2022,I2250653659,Tencent (China),company;unknown
A5068865316,2022,I189196454,The University of Texas at Arlington,education;unknown
A5100716955,2022,I183067930;I4210159420,Shanghai Children's Hospital;Shanghai Jiao Tong University,education;healthcare
A5100695406,2022,I2250653659,Tencent (China),company
A5013136877,2022,,,unknown
A5024396096,2022,,,unknown
A5065640627,2022,,,unknown
A5100320214,2022,,,unknown
A5086140371,2022,,,unknown
A5014983956,2022,,,unknown
A5037535334,2022,,,unknown
A5003640520,2022,I148283060,Lawrence Berkeley National Laboratory,research_institute;unknown
A5086885471,2022,,,unknown
A5001344368,2022,,,unknown
A5067919401,2022,I201448701,University of Washington,education;unknown
A5062471396,2022,,,unknown
A5101999351,2022,I84392919,Temple University,education;unknown
A5017166414,2022,I16718484;I31512782;I33256026,German Research Centre for Artificial Intelligence;Hess (United States);Technische Universität Darmstadt,company;education;unknown
A5014107463,2022,I31512782,Technische Universität Darmstadt,education
A5065953403,2022,I4210138519,DIPF | Leibniz Institute for Research and Information in Education,research_institute
A5015277967,2022,I31512782;I4392021234,Hessian Center for Artificial Intelligence;Technische Universität Darmstadt,education;research_institute
A5037636074,2022,I31512782;I4392021234,Hessian Center for Artificial Intelligence;Technische Universität Darmstadt,education;research_institute;unknown
A5074607185,2022,I177802217,University of Mannheim,education
A5073683401,2022,I177802217,University of Mannheim,education
A5074143496,2022,,,unknown
A5084800356,2022,,,unknown
A5054415680,2022,,,unknown
A5112014357,2022,,,unknown
A5054692443,2022,I100930933,University College Dublin,education;unknown
A5029025369,2022,I204136569,The Open University,education
A5065053503,2022,I60205797;I9927081,Aalto University;Abilene Christian University,education
A5090940680,2022,I59270414,Indian Institute of Science Bangalore,education
A5112713734,2022,,,unknown
A5070615024,2022,,,unknown
A5091112967,2022,I57206974,New York University,education;unknown
A5063966631,2022,,,unknown
A5091433552,2022,,,unknown
A5038912770,2022,,,unknown
A5011636042,2022,,,unknown
A5056436767,2022,,,unknown
A5088885573,2022,,,unknown
A5070731184,2022,,,unknown
A5017968952,2022,,,unknown
A5027253674,2022,,,unknown
A5086110112,2022,,,unknown
A5066197394,2022,,,unknown
A5059021264,2022,,,unknown
A5077427160,2022,,,unknown
A5070050208,2022,,,unknown
A5081961063,2022,,,unknown
A5081035645,2022,,,unknown
A5070762421,2022,,,unknown
A5051962352,2022,,,unknown
A5109515191,2022,,,unknown
A5028970835,2022,,,unknown
A5047846683,2022,,,unknown
A5020683620,2022,,,unknown
A5050348824,2022,,,unknown
A5032088236,2022,,,unknown
A5051750194,2022,,,unknown
A5030783855,2022,,,unknown
A5051064337,2022,,,unknown
A5054887773,2022,,,unknown
A5010007563,2022,,,unknown
A5041888075,2022,,,unknown
A5009112681,2022,,,unknown
A5001442211,2022,,,unknown
A5082696325,2022,,,unknown
A5001194068,2022,,,unknown
A5074565235,2022,,,unknown
A5049786610,2022,,,unknown
A5052156909,2022,,,unknown
A5091860006,2022,,,unknown
A5070402589,2022,,,unknown
A5110949689,2022,,,unknown
A5053213601,2022,,,unknown
A5017734452,2022,,,unknown
A5062182459,2022,,,unknown
A5021728625,2022,,,unknown
A5018789011,2022,,,unknown
A5028834865,2022,,,unknown
A5028588421,2022,,,unknown
A5108257764,2022,,,unknown
A5108062941,2022,,,unknown
A5061193324,2022,,,unknown
A5017044794,2022,,,unknown
A5101432417,2022,,,unknown
A5028325441,2022,,,unknown
A5023323170,2022,,,unknown
A5089398772,2022,I4432739,University of Bergen,education
A5080253648,2022,I59422894,University of South Florida Sarasota–Manatee,education
A5030373297,2022,I2613432,University of South Florida,education
A5021193065,2022,I138006243,University of Arizona,education
A5050411634,2022,I2613432,University of South Florida,education
A5021679728,2022,,,unknown
A5021717958,2022,,,unknown
A5019795734,2022,,,unknown
A5054879184,2022,,,unknown
A5075909735,2022,I130238516;I4210158702,Resonance Research (United States);University of Minnesota,company;education;unknown
A5073966731,2022,I4210158702,Resonance Research (United States),company;unknown
A5086611624,2022,,,unknown
A5089950471,2022,,,unknown
A5031170568,2022,,,unknown
A5048591183,2022,,,unknown
A5068437386,2022,,,unknown
A5069595628,2022,,,unknown
A5010396318,2022,,,unknown
A5045702830,2022,,,unknown
A5000188096,2022,,,unknown
A5008481063,2022,,,unknown
A5085834120,2022,,,unknown
A5025767668,2022,,,unknown
A5088562217,2022,,,unknown
A5078833726,2022,,,unknown
A5072436307,2022,,,unknown
A5040302174,2022,,,unknown
A5113489107,2022,,,unknown
A5030018356,2022,,,unknown
A5066242985,2022,,,unknown
A5100355214,2022,,,unknown
A5061546771,2022,,,unknown
A5033991509,2022,,,unknown
A5065153972,2022,,,unknown
A5100760119,2022,,,unknown
A5025118710,2022,,,unknown
A5051745436,2022,I1290206253,Microsoft (United States),company;unknown
A5001884064,2022,I205274468,Trinity College Dublin,education;unknown
A5047990812,2022,,,unknown
A5102906366,2022,I1291425158,Google (United States),company;unknown
A5047714914,2022,,,unknown
A5062633736,2022,,,unknown
A5009980324,2022,I40120149;I97018004,Stanford University;University of Oxford,education;unknown
A5033116661,2022,,,unknown
A5016423432,2022,,,unknown
A5104102021,2022,,,unknown
A5100537890,2022,,,unknown
A5113984587,2022,I4210127875,Nvidia (United States),company
A5109204947,2022,I4210127875,Nvidia (United States),company
A5100386207,2022,I33213144,University of Florida,education
A5036469793,2022,,,unknown
A5060196069,2022,,,unknown
A5034858125,2022,,,unknown
A5069646529,2022,I40120149;I4210156221,Allen Institute for Artificial Intelligence;University of Oxford,education;nonprofit
A5038992613,2022,I40120149;I4210156221,Allen Institute for Artificial Intelligence;University of Oxford,education;nonprofit
A5036811894,2022,I40120149;I4210156221,Allen Institute for Artificial Intelligence;University of Oxford,education;nonprofit
A5052196188,2022,I40120149;I4210156221,Allen Institute for Artificial Intelligence;University of Oxford,education;nonprofit
A5100685011,2022,I154570441,"University of California, Santa Barbara",education;unknown
A5088339142,2022,,,unknown
A5101180037,2022,I4210105678,Microsoft (Finland),company;unknown
A5100626004,2022,,,unknown
A5022297444,2022,,,unknown
A5100607163,2022,,,unknown
A5100370862,2022,,,unknown
A5100568265,2022,I154570441,"University of California, Santa Barbara",education;unknown
A5066404470,2022,,,unknown
A5065378241,2022,,,unknown
A5103103242,2022,I1291425158;I151746483;I4210127509,Google (United States);University of Waterloo;Vector Institute,company;education;research_institute;unknown
A5047709762,2022,I154570441,"University of California, Santa Barbara",education;unknown
A5046532741,2022,,,unknown
A5103947100,2022,,,unknown
A5005443526,2022,,,unknown
A5086674741,2022,,,unknown
A5058308999,2022,I24943067;I66867065,East China Normal University;Fudan University,education;unknown
A5083285849,2022,I24943067;I66867065,East China Normal University;Fudan University,education;unknown
A5101586921,2022,I24943067;I66867065,East China Normal University;Fudan University,education;unknown
A5102710198,2022,I24943067;I66867065,East China Normal University;Fudan University,education;unknown
A5088834359,2022,I24943067;I66867065,East China Normal University;Fudan University,education;unknown
A5044665993,2022,I24943067;I66867065,East China Normal University;Fudan University,education;unknown
A5062308355,2022,I57206974,New York University,education
A5100764595,2022,,,unknown
A5046282128,2022,,,unknown
A5011543162,2022,,,unknown
A5101652419,2022,,,unknown
A5045794652,2022,I32971472,Yale University,education;unknown
A5025062647,2022,,,unknown
A5055735931,2022,,,unknown
A5101940974,2022,,,unknown
A5082763858,2022,,,unknown
A5019539533,2022,,,unknown
A5089522357,2022,I1291425158;I859038795,Google (United States);Virginia Tech,company;education
A5051613770,2022,I1291425158;I859038795,Google (United States);Virginia Tech,company;education
A5114526301,2022,I1291425158;I859038795,Google (United States);Virginia Tech,company;education
A5016054994,2022,I1291425158;I4210113520;I859038795,Brain (Germany);Google (United States);Virginia Tech,company;education;unknown
A5032275274,2022,I1291425158;I859038795,Google (United States);Virginia Tech,company;education
A5016175345,2022,I1291425158;I19820366;I4210112150;I859038795,Chinese Academy of Sciences;Google (United States);Institute of Automation;Virginia Tech,company;education;government;research_institute
A5103217647,2022,,,unknown
A5053148078,2022,,,unknown
A5086650438,2022,,,unknown
A5059648257,2022,,,unknown
A5010950688,2022,,,unknown
A5060815601,2022,,,unknown
A5008679414,2022,I74656192,University of Göttingen,education
A5081763922,2022,I74656192,University of Göttingen,education
A5048288120,2022,I1332474105;I74656192,Mercedes-Benz (Germany);University of Göttingen,company;education
A5058837356,2022,I74656192,University of Göttingen,education
A5079675053,2022,,,unknown
A5049216983,2022,,,unknown
A5072587042,2022,,,unknown
A5012826868,2022,,,unknown
A5072191151,2022,,,unknown
A5100635369,2022,I4210103986,Jingdong (China),company;unknown
A5084497683,2022,,,unknown
A5074103823,2022,I129604602;I4210103986,Jingdong (China);The University of Sydney,company;education;unknown
A5068477431,2022,,,unknown
A5032463780,2022,I71209653,Bocconi University,education;unknown
A5060377481,2022,I71209653,Bocconi University,education
A5084505122,2022,I2252078561;I4210085930;I71209653,Bocconi University;Heriot-Watt University Malaysia;Meta (Israel),company;education
A5066427994,2022,,,unknown
A5102435043,2022,,,unknown
A5063157850,2022,I1291425158,Google (United States),company;unknown
A5027223654,2022,,,unknown
A5026230181,2022,,,unknown
A5076699933,2022,,,unknown
A5047699861,2022,,,unknown
A5081573359,2022,,,unknown
A5071893787,2022,I16391192,Tel Aviv University,education;unknown
A5101182015,2022,,,unknown
A5011150187,2022,,,unknown
A5100460563,2022,,,unknown
A5077817759,2022,,,unknown
A5058037733,2022,,,unknown
A5051617344,2022,I1291425158,Google (United States),company;unknown
A5074839699,2022,,,unknown
A5021055773,2022,,,unknown
A5088842522,2022,I1291425158,Google (United States),company;unknown
A5064670715,2022,,,unknown
A5080806360,2022,I1313323035,Russian Academy of Sciences,government
A5063269071,2022,I157725225,University of Illinois Urbana-Champaign,education;unknown
A5030156276,2022,I63190737,"University at Buffalo, State University of New York",education;unknown
A5028518494,2022,I157725225,University of Illinois Urbana-Champaign,education;unknown
A5017598734,2022,,,unknown
A5048004070,2022,,,unknown
A5087565126,2022,,,unknown
A5052553582,2022,,,unknown
A5101924962,2022,,,unknown
A5110645828,2022,,,unknown
A5100389882,2022,,,unknown
A5100358009,2022,,,unknown
A5050599602,2022,,,unknown
A5059068945,2022,,,unknown
A5051184573,2022,,,unknown
A5041534013,2022,,,unknown
A5000625246,2022,,,unknown
A5005163180,2022,,,unknown
A5028913764,2022,,,unknown
A5015802518,2022,,,unknown
A5005177735,2022,,,unknown
A5089807699,2022,,,unknown
A5087809446,2022,,,unknown
A5060961149,2022,,,unknown
A5046521761,2022,,,unknown
A5001291320,2022,,,unknown
A5078263052,2022,,,unknown
A5075004917,2022,,,unknown
A5006477144,2022,,,unknown
A5065857605,2022,I100005738,Brigham Young University,education
A5010623483,2022,I100005738,Brigham Young University,education
A5051955801,2022,I100005738,Brigham Young University,education
A5082728985,2022,I100005738,Brigham Young University,education
A5043661073,2022,I100005738,Brigham Young University,education;unknown
A5101484037,2022,I57206974,New York University,education
A5001757327,2022,,,unknown
A5035441206,2022,,,unknown
A5021962955,2022,,,unknown
A5026512325,2022,,,unknown
A5081216215,2022,,,unknown
A5028613913,2022,,,unknown
A5082335045,2022,I4210099679,Protein Express (United States),company;unknown
A5086801064,2022,I4210099679,Protein Express (United States),company;unknown
A5074280299,2022,,,unknown
A5087232751,2022,I63966007,Massachusetts Institute of Technology,education
A5053471950,2022,,,unknown
A5006044037,2022,I4210099679,Protein Express (United States),company;unknown
A5079593012,2022,,,unknown
A5029063409,2022,I4210099679;I57206974,New York University;Protein Express (United States),company;education;unknown
A5069085463,2022,I1291425158,Google (United States),company;unknown
A5055731751,2022,I1291425158,Google (United States),company;unknown
A5002347902,2022,I1291425158,Google (United States),company;unknown
