id,author_id,display_name,main_institution_name,main_institution_id,main_institution_type,simplified_institution_category,target_firm_label,primary_institution_for_display_this_year,primary_category_for_display_this_year,primary_target_firm_for_display_this_year,all_institution_names_this_year,all_target_firm_labels_this_year,has_multiple_affiliations_this_year,has_multiple_categories_this_year,publication_count,year_list,degree_centrality,weighted_degree,betweenness_centrality,eigenvector_centrality,community
A5000155122,A5000155122,Jiru Li,Dalian University of Technology,I27357992,education,education,Other,Dalian University of Technology,education,Other,Dalian University of Technology,Other,False,False,1,2024,0.0008871043047903632,19.0,0.0,5.40669999702003e-43,20
A5000156461,A5000156461,David Chuan-En Lin,Carnegie Mellon University,I74973139,education,education,Other,Carnegie Mellon University,education,Other,Carnegie Mellon University,Other,False,False,1,2024,4.668970025212438e-05,1.0,0.0,4.78853346172546e-114,21
A5000173131,A5000173131,Anran Li,,,,unknown,Other,,unknown,Other,,,False,False,1,2024,0.0004668970025212438,10.0,0.0,8.996296536937922e-10,22
A5000192505,A5000192505,Stefano Mancini,University of Zurich,I202697423,education,education,Other,University of Zurich,education,Other,University of Zurich,Other,False,False,1,2024,0.00028013820151274625,6.0,0.0,2.0372000372092235e-75,23
A5000192581,A5000192581,Steve Horvath,,,,unknown,Other,,unknown,Other,,,False,False,1,2024,0.0002334485012606219,5.0,0.0,5.028568617605943e-17,24
A5000196131,A5000196131,Yaowei Feng,Ningxia University,I21642278,education,education,Other,Ningxia University,education,Other,Ningxia University,Other,False,False,1,2024,0.0002334485012606219,5.0,0.0,3.595933168668725e-80,25
A5000205211,A5000205211,Laura Lavertu,University of Strathclyde,I181647926,education,education,Other,University of Strathclyde,education,Other,University of Strathclyde,Other,False,False,1,2024,0.0006536558035297413,14.0,0.0,6.449888802649802e-52,26
A5000214180,A5000214180,Takahito Fujimori,Osaka University,I98285908,education,education,Other,Osaka University,education,Other,Osaka University;Sakai Municipal Hospital,Other,True,True,1,2024,0.00032682790176487064,7.0,0.0,2.6696966151144307e-71,27
A5000226430,A5000226430,Hongxin Xiang,Hunan University,I16609230,education,education,Other,Hunan University,education,Other,Hunan University,Other,False,False,1,2024,0.0004668970025212438,10.0,0.0,4.802378754119623e-13,28
A5000231744,A5000231744,Miles Williams,University of Sheffield,I91136226,education,education,Other,University of Sheffield,education,Other,University of Sheffield,Other,False,False,1,2024,0.00014006910075637312,3.0,0.0,1.1306604960876034e-92,29
A5000232528,A5000232528,Yang Feng,Guangxi University,I150807315,education,education,Other,Guangxi University,education,Other,Guangxi University,Other,False,False,1,2024,0.00014006910075637312,3.0,0.0,1.1306604960876034e-92,30
A5000245959,A5000245959,Lin Guo,Institute for Clinical Evaluative Sciences,I4210147079,nonprofit,nonprofit,Other,Institute for Clinical Evaluative Sciences,nonprofit,Other,Hospital for Sick Children;Institute for Clinical Evaluative Sciences;SickKids Foundation,Other,True,True,1,2024,0.00037351760201699503,8.0,0.0,0.0004381248437994517,31
A5000265897,A5000265897,Roger B. Dannenberg,,,,unknown,Other,,unknown,Other,,,False,False,2,2024,0.0028947614156317114,71.0,1.1647737199305802e-05,2.7366244224906213e-10,32
A5000279490,A5000279490,Joanne M. Atlee,University of Waterloo,I151746483,education,education,Other,University of Waterloo,education,Other,University of Waterloo,Other,False,False,1,2024,0.00018675880100849752,4.0,0.0,8.589010670443372e-86,33
A5000299138,A5000299138,Haoran Tang,Peng Cheng Laboratory,I4210136793,facility,research_institute,Other,Peng Cheng Laboratory,research_institute,Other,Peking University;Peng Cheng Laboratory,Other,True,True,1,2024,0.0002334485012606219,5.0,0.0,3.8975661505129225e-13,134
A5000300751,A5000300751,Salman Khan,Mohamed bin Zayed University of Artificial Intelligence,I4210113480,education,education,Other,Mohamed bin Zayed University of Artificial Intelligence,education,Other,Mohamed bin Zayed University of Artificial Intelligence,Other,False,False,1,2024,0.00032682790176487064,7.0,0.0,5.627190367973613e-71,35
A5000303572,A5000303572,Xiao Chuan Ran,University of Illinois Urbana-Champaign,I157725225,education,education,Other,University of Illinois Urbana-Champaign,education,Other,University of Illinois Urbana-Champaign,Other,False,False,1,2024,0.00032682790176487064,7.0,0.0,2.6696966151144307e-71,36
A5000324199,A5000324199,Bishnu Prasad Bhattarai,United States Department of Energy,I1330989302,government,government,Other,United States Department of Energy,government,Other,United States Department of Energy,Other,False,False,1,2024,0.0012139322065552339,26.0,0.0,7.094116004726216e-23,37
A5000326701,A5000326701,Andres Ortega‐Guerrero,École Polytechnique Fédérale de Lausanne,I5124864,education,education,Other,École Polytechnique Fédérale de Lausanne,education,Other,École Polytechnique Fédérale de Lausanne,Other,False,False,1,2024,0.00014006910075637312,3.0,0.0,5.407922366222717e-71,38
A5000341866,A5000341866,Sophia J. Wagner,Technical University of Munich,I62916508,education,education,Other,Technical University of Munich,education,Other,Helmholtz Zentrum München;Technical University of Munich,Other,True,True,3,2024,0.001354001307311607,34.0,0.00033993275907073057,3.0724210753294743e-09,39
A5000348407,A5000348407,Yu Guan,Alibaba Group (China),I45928872,company,company,Other,Alibaba Group (China),company,Other,Alibaba Group (China),Other,False,False,1,2024,0.0007003455037818657,15.0,0.0,6.303642907323464e-50,40
A5000351035,A5000351035,Cyril Foropon,Montpellier Business School,I4210131537,education,education,Other,Montpellier Business School,education,Other,Montpellier Business School,Other,False,False,1,2024,0.00014006910075637312,3.0,0.0,1.1306604960876034e-92,41
A5000354437,A5000354437,Shuai Yuan,University of Hong Kong,I889458895,education,education,Other,University of Hong Kong,education,Other,University of Hong Kong,Other,False,False,1,2024,0.00037351760201699503,8.0,0.0,1.143644391775941e-67,42
A5000358833,A5000358833,Alissa Zaccaria,,,,unknown,Other,,unknown,Other,,,False,False,1,2024,0.00014006910075637312,3.0,0.0,1.1306604960876034e-92,43
A5000363449,A5000363449,Wanyu Bian,Athinoula A. Martinos Center for Biomedical Imaging,I4210127055,facility,research_institute,Other,Athinoula A. Martinos Center for Biomedical Imaging,research_institute,Other,Athinoula A. Martinos Center for Biomedical Imaging;Harvard University;Massachusetts General Hospital,Other,True,True,1,2024,0.00018675880100849752,4.0,0.0,8.589010670443372e-86,44
A5000377034,A5000377034,Wen-Chin Huang,Nagoya University,I60134161,education,education,Other,Nagoya University,education,Other,Nagoya University,Other,False,False,1,2024,0.0008871043047903632,19.0,0.0,3.803499553762071e-40,45
A5000384489,A5000384489,Bharat B. Mittal,Northwestern University,I111979921,education,education,Other,Northwestern University,education,Other,Northwestern Memorial Hospital;Northwestern University,Other,True,True,1,2024,0.00032682790176487064,7.0,0.0,2.6696966151144307e-71,46
A5000400312,A5000400312,Guy Rosman,,,,unknown,Other,,unknown,Other,,,False,False,1,2024,0.00032682790176487064,7.0,0.0,2.6696966151144307e-71,47
A5000403795,A5000403795,Xiaofeng Li,Tianjin Medical University Cancer Institute and Hospital,I2802573037,healthcare,healthcare,Other,Tianjin Medical University Cancer Institute and Hospital,healthcare,Other,Tianjin Medical University Cancer Institute and Hospital,Other,False,False,1,2024,9.337940050424876e-05,2.0,0.0,1.5229369349934825e-101,48
A5000409439,A5000409439,Jimmy Xiangji Huang,York University,I192455969,education,education,Other,York University,education,Other,York University,Other,False,False,1,2024,0.00014006910075637312,3.0,0.0,1.1306604960876034e-92,49
A5000411800,A5000411800,Shuwei Shao,Beihang University,I82880672,education,education,Other,Beihang University,education,Other,Beihang University,Other,False,False,1,2024,0.0002334485012606219,5.0,0.0,3.595933168668725e-80,50
A5000421658,A5000421658,Arjun V. Masurkar,New York University,I57206974,education,education,Other,New York University,education,Other,New York University,Other,False,False,1,2024,0.0006069661032776169,13.0,0.0,4.8102025873088156e-54,51
A5000424391,A5000424391,Gwok-Waa Wan,The Synergetic Innovation Center for Advanced Materials,I4210159340,facility,research_institute,Other,The Synergetic Innovation Center for Advanced Materials,research_institute,Other,The Synergetic Innovation Center for Advanced Materials,Other,False,False,1,2024,0.00028013820151274625,6.0,0.0,1.786655166399249e-74,52
A5000432413,A5000432413,Kailong Wang,Huazhong University of Science and Technology,I47720641,education,education,Other,Huazhong University of Science and Technology,education,Other,Huazhong University of Science and Technology,Other,False,False,3,2024,0.0008871043047903632,22.0,0.0002864923226135555,1.5689916919176678e-12,74
A5000470166,A5000470166,Yin Xu,Shandong Jiaotong University,I4210099312,education,education,Other,Shandong Jiaotong University,education,Other,Shandong Jiaotong University;Shanghai Jiao Tong University,Other,True,False,1,2024,0.00028013820151274625,6.0,0.0,2.0372000372092235e-75,54
A5000474356,A5000474356,Nan Cao,,,,unknown,Other,,unknown,Other,,,False,False,1,2024,0.0002334485012606219,5.0,0.0,3.595933168668725e-80,55
A5000483689,A5000483689,Nafisa Hussain,,,,unknown,Other,,unknown,Other,,,False,False,1,2024,0.0010271734055467363,22.0,0.0,9.766730220478184e-39,56
A5000487855,A5000487855,Carol C. Wu,Cornell University,I205783295,education,education,Other,Cornell University,education,Other,Cornell University;Thomas Jefferson University Hospital,Other,True,True,1,2024,0.00037351760201699503,8.0,0.0,3.762213462601746e-10,57
A5000492991,A5000492991,Yuan Yao,National University of Singapore,I165932596,education,education,Other,National University of Singapore,education,Other,National University of Singapore,Other,False,False,1,2024,0.0004202073022691194,9.0,0.0,3.514971191219745e-13,58
A5000493089,A5000493089,Rudra Murthy,,,,unknown,Other,,unknown,Other,,,False,False,1,2024,0.0004668970025212438,10.0,0.0,7.563526014741433e-54,59
A5000502468,A5000502468,Gaoyang Liu,Shaoxing University,I192209268,education,education,Other,Shaoxing University,education,Other,Shaoxing University;Zhejiang University,Other,True,False,1,2024,0.0002334485012606219,5.0,0.0,3.595933168668725e-80,60
A5000506964,A5000506964,Tobias Penzkofer,,,,unknown,Other,,unknown,Other,,,False,False,1,2024,0.0004202073022691194,9.0,0.0,2.028022805555576e-64,61
A5000507732,A5000507732,Chenyang Xiang,Beijing Jiaotong University,I21193070,education,education,Other,Beijing Jiaotong University,education,Other,Beijing Jiaotong University,Other,False,False,1,2024,0.00018675880100849752,4.0,0.0,8.589010670443372e-86,62
A5000513695,A5000513695,Yanling Cai,Chongqing Medical University,I87780372,education,education,Other,Chongqing Medical University,education,Other,Chongqing Medical University;Stomatological Hospital of Chongqing Medical University,Other,True,True,1,2024,0.00018675880100849752,4.0,0.0,8.589010670443372e-86,63
A5000527699,A5000527699,Francesca Rossi,,,,unknown,Other,,unknown,Other,,,False,False,1,2024,0.0004202073022691194,9.0,0.0,1.316564222689164e-63,64
A5000530436,A5000530436,Pan Hui,,,,unknown,Other,,unknown,Other,,,False,False,2,2024,0.0004668970025212438,10.0,0.00015689204264802945,9.150434430532122e-19,65
A5000534132,A5000534132,Minhao Cheng,Pennsylvania State University,I130769515,education,education,Other,Pennsylvania State University,education,Other,Pennsylvania State University,Other,False,False,1,2024,0.00014006910075637312,3.0,0.0,1.023333455939079e-16,414
A5000550975,A5000550975,Jungseul Ok,Pohang University of Science and Technology,I123900574,education,education,Other,Pohang University of Science and Technology,education,Other,Pohang University of Science and Technology,Other,False,False,1,2024,0.00014006910075637312,3.0,0.0,1.1306604960876034e-92,66
A5000554104,A5000554104,Georgios Kaissis,Helmholtz Zentrum München,I3018134672,facility,research_institute,Other,Helmholtz Zentrum München,research_institute,Other,Helmholtz Zentrum München;Imperial College London;TUM Klinikum;Technical University of Munich,Other,True,True,1,2024,0.0004668970025212438,10.0,0.0,1.50297523886747e-09,67
A5000563408,A5000563408,Jingdan Chen,,,,unknown,Other,,unknown,Other,,,False,False,1,2024,0.0006069661032776169,13.0,0.0,3.5042311489578477e-11,246
A5000564739,A5000564739,Hao Xue,UNSW Sydney,I31746571,education,education,Other,UNSW Sydney,education,Other,UNSW Sydney,Other,False,False,1,2024,0.0002334485012606219,5.0,0.0,1.2710997097214815e-76,69
A5000568474,A5000568474,Ahmed Ghazi,,,,unknown,Other,,unknown,Other,,,False,False,1,2024,0.00018675880100849752,4.0,0.0,8.589010670443372e-86,70
A5000577985,A5000577985,Shunyu Yao,Princeton University,I20089843,education,education,Other,Princeton University,education,Other,China Telecom;China Telecom (China);Princeton University,Other,True,True,2,2024,0.00037351760201699503,8.0,6.972979673245754e-05,0.0021969723936595136,71
A5000582109,A5000582109,Zibin Zheng,Sun Yat-sen University,I157773358,education,education,Other,Sun Yat-sen University,education,Other,Sun Yat-sen University,Other,False,False,1,2024,0.00032682790176487064,7.0,0.0,3.22579312625633e-18,24
A5000592356,A5000592356,Jiamian Wang,Rochester Institute of Technology,I155173764,education,education,Other,Rochester Institute of Technology,education,Other,Rochester Institute of Technology,Other,False,False,1,2024,0.00014006910075637312,3.0,0.0,3.693613285427982e-13,72
A5000592461,A5000592461,Mattson Ogg,Johns Hopkins University Applied Physics Laboratory,I2802946424,facility,research_institute,Other,Johns Hopkins University Applied Physics Laboratory,research_institute,Other,Johns Hopkins University Applied Physics Laboratory,Other,False,False,1,2024,4.668970025212438e-05,1.0,0.0,4.78853346172546e-114,73
A5000593091,A5000593091,Yuan Yin,Dyson (United Kingdom),I4210089887,company,company,Other,Dyson (United Kingdom),company,Other,Dyson (United Kingdom);Imperial College London,Other,True,True,1,2024,0.0006069661032776169,13.0,0.0,4.24573498948541e-17,74
A5000595758,A5000595758,Sukmin Cho,,,,unknown,Other,,unknown,Other,,,False,False,1,2024,0.00018675880100849752,4.0,0.0,8.589010670443372e-86,75
A5000609872,A5000609872,Jian‐Yu Shi,Beijing University of Posts and Telecommunications,I139759216,education,education,Other,Beijing University of Posts and Telecommunications,education,Other,Beijing University of Posts and Telecommunications,Other,False,False,1,2024,0.00018675880100849752,4.0,0.0,8.589010670443372e-86,76
A5000614737,A5000614737,Rumeysa Bodur,Imperial College London,I47508984,education,education,Other,Imperial College London,education,Other,Imperial College London,Other,False,False,2,2024,0.00028013820151274625,7.0,0.0,1.6962003350971774e-77,77
A5000617346,A5000617346,Anjali Bal,Babson College,I96062909,education,education,Other,Babson College,education,Other,Babson College,Other,False,False,1,2024,4.668970025212438e-05,1.0,0.0,4.78853346172546e-114,78
A5000623592,A5000623592,Ishan Misra,,,,unknown,Other,,unknown,Other,,,False,False,2,2024,0.0004202073022691194,9.0,0.0,2.028022805555576e-64,79
A5000635267,A5000635267,Vijay Janapa Reddi,Harvard University Press,I2801851002,other,unknown,Other,Harvard University Press,unknown,Other,Harvard University Press,Other,False,False,1,2024,0.0006536558035297413,14.0,0.0,2.781148418890456e-06,12
A5000640882,A5000640882,Hanbo Sun,Tsinghua University,I99065089,education,education,Other,Tsinghua University,education,Other,Tsinghua University,Other,False,False,1,2024,0.0007470352040339901,16.0,0.0,2.1558688328441875e-46,80
A5000644890,A5000644890,Yinmin Zhong,,,,unknown,Other,,unknown,Other,,,False,False,1,2024,0.0004202073022691194,9.0,0.0,8.357786850450831e-16,74
A5000646181,A5000646181,Una-May O’Reilly,Vassar College,I126820664,education,education,Other,Vassar College,education,Other,Vassar College,Other,False,False,1,2024,9.337940050424876e-05,2.0,0.0,1.5229369349934825e-101,81
A5000663216,A5000663216,Niklas Boers,Technical University of Munich,I62916508,education,education,Other,Technical University of Munich,education,Other,Technical University of Munich,Other,False,False,1,2024,0.00028013820151274625,6.0,0.0,2.0372000372092235e-75,82
A5000678293,A5000678293,Zefeng Li,Nanyang Technological University,I172675005,education,education,Other,Nanyang Technological University,education,Other,Nanyang Technological University;University of Science and Technology of China,Other,True,False,2,2024,0.0005602764030254925,12.0,0.00012202714428180069,1.4984016157595455e-12,74
A5000680377,A5000680377,Liang Hong,Shanghai Jiao Tong University,I183067930,education,education,Other,Shanghai Jiao Tong University,education,Other,Beijing Academy of Artificial Intelligence;Institute of Natural Science;Shanghai Artificial Intelligence Laboratory;Shanghai Jiao Tong University;University of Hong Kong,Other,True,True,3,2024,0.0013073116070594826,28.0,0.002364507542355954,6.983021960909254e-15,83
A5000683189,A5000683189,Bo Yang,University of Electronic Science and Technology of China,I150229711,education,education,Other,University of Electronic Science and Technology of China,education,Other,University of Electronic Science and Technology of China,Other,False,False,1,2024,0.00018675880100849752,4.0,0.0,8.589010670443372e-86,84
A5000697337,A5000697337,Ryan B. Ko,UC Irvine Health,I4210137750,healthcare,healthcare,Other,UC Irvine Health,healthcare,Other,UC Irvine Health,Other,False,False,1,2024,0.00028013820151274625,6.0,0.0,2.0372000372092235e-75,85
A5000701578,A5000701578,Giovanni Zagni,,,,unknown,Other,,unknown,Other,,,False,False,1,2024,0.0007937249042861144,17.0,0.0,8.16229220154716e-10,24
A5000707990,A5000707990,Yifei Chen,,,,unknown,Other,,unknown,Other,,,False,False,1,2024,0.00032682790176487064,7.0,0.0,4.02000805533955e-13,86
A5000712908,A5000712908,Rami Ben‐Ari,ORT Israel,I2799530024,nonprofit,nonprofit,Other,ORT Israel,nonprofit,Other,ORT Israel,Other,False,False,1,2024,0.00018675880100849752,4.0,0.0,1.467727503410136e-16,101
A5000716736,A5000716736,Jessica Dafflon,National Institute of Mental Health,I4210158500,facility,research_institute,Other,National Institute of Mental Health,research_institute,Other,Centre Hospitalier de Valence;National Institute of Mental Health,Other,True,True,1,2024,0.0017742086095807264,38.0,0.0,0.00017148680745439912,88
A5000725482,A5000725482,Joseph L. Watson,University of Washington,I201448701,education,education,Other,University of Washington,education,Other,University of Washington,Other,False,False,1,2024,9.337940050424876e-05,2.0,0.0,1.5229369349934825e-101,89
A5000730187,A5000730187,Jingjia Wang,Peking University,I20231570,education,education,Other,Peking University,education,Other,Peking University;Peking University Third Hospital,Other,True,True,2,2024,0.0010738631057988608,25.0,4.669406031191353e-07,6.706725896235838e-37,16
A5000737212,A5000737212,Karthik Mahadevan,University of Toronto,I185261750,education,education,Other,University of Toronto,education,Other,University of Toronto,Other,False,False,1,2024,0.00037351760201699503,8.0,0.0,1.6234815258788045e-11,90
A5000744718,A5000744718,Jessica Hammer,Carnegie Mellon University,I74973139,education,education,Other,Carnegie Mellon University,education,Other,Carnegie Mellon University,Other,False,False,1,2024,0.0002334485012606219,5.0,0.0,3.763180521819247e-12,91
A5000747777,A5000747777,Yifei Shen,Hong Kong University of Science and Technology,I200769079,education,education,Other,Hong Kong University of Science and Technology,education,Other,Hong Kong University of Science and Technology;Yale University,Other,True,False,1,2024,0.0002334485012606219,5.0,0.0,2.380043341077086e-22,65
A5000755750,A5000755750,Xiangliang Zhang,,,,unknown,Other,,unknown,Other,,,False,False,2,2024,0.00032682790176487064,7.0,0.0,1.1277806118365883e-15,92
A5000761160,A5000761160,Xinying Guo,Nanyang Technological University,I172675005,education,education,Other,Nanyang Technological University,education,Other,Nanyang Technological University,Other,False,False,1,2024,0.00028013820151274625,6.0,0.0,1.637330762948996e-11,93
A5000762728,A5000762728,Charles Dawson,Massachusetts Institute of Technology,I63966007,education,education,Other,Massachusetts Institute of Technology,education,Other,Massachusetts Institute of Technology,Other,False,False,1,2024,0.0002334485012606219,5.0,0.0,7.693996513682055e-69,94
A5000762817,A5000762817,Jinfeng Wei,Northeastern University,I9224756,education,education,Other,Northeastern University,education,Other,Northeastern University,Other,False,False,1,2024,4.668970025212438e-05,1.0,0.0,4.78853346172546e-114,95
A5000774069,A5000774069,Flavio Schneider,,,,unknown,Other,,unknown,Other,,,False,False,1,2024,0.00014006910075637312,3.0,0.0,4.293915635094767e-17,96
A5000794530,A5000794530,Fengtian Chang,Chang'an University,I25355098,education,education,Other,Chang'an University,education,Other,Chang'an University,Other,False,False,1,2024,0.0002334485012606219,5.0,0.0,3.595933168668725e-80,97
A5000798130,A5000798130,Xingyu Xiong,Artificial Intelligence Research Institute,I4210131846,facility,research_institute,Other,Artificial Intelligence Research Institute,research_institute,Other,Artificial Intelligence Research Institute,Other,False,False,1,2024,4.668970025212438e-05,1.0,0.0,4.78853346172546e-114,98
A5000819439,A5000819439,Mohammed Eunus Ali,Bangladesh University of Engineering and Technology,I183697816,education,education,Other,Bangladesh University of Engineering and Technology,education,Other,Bangladesh University of Engineering and Technology,Other,False,False,1,2024,0.00037351760201699503,8.0,0.0,2.546899267730165e-67,99
A5000822039,A5000822039,Gabriela Hoefer,,,,unknown,Other,,unknown,Other,,,False,False,1,2024,0.0002334485012606219,5.0,0.0,2.304097043432797e-67,100
A5000827309,A5000827309,Nupur Kumari,Carnegie Mellon University,I74973139,education,education,Other,Carnegie Mellon University,education,Other,Carnegie Mellon University,Other,False,False,2,2024,0.00037351760201699503,9.0,0.00015689204264802945,2.2202425672149744e-23,101
A5000831058,A5000831058,Margaret T. Berrigan,Beth Israel Deaconess Medical Center,I1316535847,healthcare,healthcare,Other,Beth Israel Deaconess Medical Center,healthcare,Other,Beth Israel Deaconess Medical Center,Other,False,False,1,2024,0.0002334485012606219,5.0,0.0,3.595933168668725e-80,102
A5000844861,A5000844861,Ming Yan,Alibaba Group (United States),I4210095624,company,company,Other,Alibaba Group (United States),company,Other,Alibaba Group (United States),Other,False,False,2,2024,0.0007003455037818657,17.0,9.965846586571257e-06,2.3107554443136636e-13,103
A5000849275,A5000849275,Ángela López-Cardona,,,,unknown,Other,,unknown,Other,,,False,False,1,2024,0.00018675880100849752,4.0,0.0,8.589010670443372e-86,104
A5000850685,A5000850685,Sunkyu Kim,American International Group (United States),I162884033,company,company,Other,American International Group (United States),company,Other,American International Group (United States);Korea University;Severance Hospital;Yonsei University,Other,True,True,1,2024,9.337940050424876e-05,2.0,0.0,1.5229369349934825e-101,105
A5000863841,A5000863841,Eashan Adhikarla,Lehigh University,I186143895,education,education,Other,Lehigh University,education,Other,Lehigh University,Other,False,False,1,2024,0.0010271734055467363,22.0,0.0,1.9918232533792766e-08,72
A5000874697,A5000874697,Jonathan May,,,,unknown,Other,,unknown,Other,,,False,False,1,2024,0.00028013820151274625,6.0,0.0,2.0372000372092235e-75,106
A5000877601,A5000877601,Zhuo Zheng,Stanford University,I97018004,education,education,Other,Stanford University,education,Other,Stanford University,Other,False,False,1,2024,0.00018675880100849752,4.0,0.0,2.0131620544296405e-11,375
A5000881104,A5000881104,Yubo Peng,Hunan Normal University,I173759888,education,education,Other,Hunan Normal University,education,Other,Hunan Normal University,Other,False,False,1,2024,0.00032682790176487064,7.0,0.0,2.20315547368869e-10,108
A5000886170,A5000886170,Dharmender Kumar,Guru Jambheshwar University of Science and Technology,I15896350,education,education,Other,Guru Jambheshwar University of Science and Technology,education,Other,Guru Jambheshwar University of Science and Technology,Other,False,False,1,2024,4.668970025212438e-05,1.0,0.0,4.78853346172546e-114,109
A5000896363,A5000896363,Yu Li,,,,unknown,Other,,unknown,Other,,,False,False,1,2024,0.00032682790176487064,7.0,0.0,2.6696966151144307e-71,110
