work_id,publication_year,author_id,author_name,institution_id,institution_name,institution_type,simplified_institution_category,target_firm_label,affiliation_source
W4301393026,2022,A5062546146,Alexander M. Rush,I205783295,Cornell University,education,education,Other,structured_openalex
W4312091558,2022,A5028631317,Felix Agbavor,I72816309,Drexel University,education,education,Other,structured_openalex
W4312091558,2022,A5036766367,Hualou Liang,I72816309,Drexel University,education,education,Other,structured_openalex
W4313470113,2022,A5083142530,Oğuzhan Topsakal,I32480017,Florida Polytechnic University,education,education,Other,structured_openalex
W4313470113,2022,A5082800184,Elif TOPSAKAL,I2613432,University of South Florida,education,education,Other,structured_openalex
W3197754201,2022,A5019880413,Emily Reif,I1291425158,Google (United States),company,company,Google / Google DeepMind / DeepMind,structured_openalex
W3197754201,2022,A5022994077,Daphne Ippolito,I1291425158,Google (United States),company,company,Google / Google DeepMind / DeepMind,structured_openalex
W3197754201,2022,A5022994077,Daphne Ippolito,I79576946,University of Pennsylvania,education,education,Other,structured_openalex
W3197754201,2022,A5020034316,Ann Yuan,I1291425158,Google (United States),company,company,Google / Google DeepMind / DeepMind,structured_openalex
W3197754201,2022,A5069648186,Andy Coenen,I1291425158,Google (United States),company,company,Google / Google DeepMind / DeepMind,structured_openalex
W3197754201,2022,A5068508539,Chris Callison-Burch,I79576946,University of Pennsylvania,education,education,Other,structured_openalex
W3197754201,2022,A5078446912,Jason Wei,I1291425158,Google (United States),company,company,Google / Google DeepMind / DeepMind,structured_openalex
W4313232683,2022,A5019426692,Aidan Gilson,I32971472,Yale University,education,education,Other,structured_openalex
W4313232683,2022,A5049597319,Conrad Safranek,I32971472,Yale University,education,education,Other,structured_openalex
W4313232683,2022,A5078468272,Thomas Huang,I32971472,Yale University,education,education,Other,structured_openalex
W4313232683,2022,A5088607405,Vimig Socrates,I32971472,Yale University,education,education,Other,structured_openalex
W4313232683,2022,A5049490816,Ling Chi,I32971472,Yale University,education,education,Other,structured_openalex
W4313232683,2022,A5109921699,Richard A. Taylor,I32971472,Yale University,education,education,Other,structured_openalex
W4313232683,2022,A5012426158,David Chartash,I100930933,University College Dublin,education,education,Other,structured_openalex
W4313232683,2022,A5012426158,David Chartash,I181231927,National University of Ireland,education,education,Other,structured_openalex
W4313232683,2022,A5012426158,David Chartash,I32971472,Yale University,education,education,Other,structured_openalex
W4225411436,2022,A5063273007,Adam Sobieszek,I4654613,University of Warsaw,education,education,Other,structured_openalex
W4225411436,2022,A5008281236,Tadeusz Price,I142263535,University of Nottingham,education,education,Other,structured_openalex
W3198377975,2022,A5030812622,Kaiyang Zhou,I172675005,Nanyang Technological University,education,education,Other,structured_openalex
W3198377975,2022,A5075948339,Jingkang Yang,I172675005,Nanyang Technological University,education,education,Other,structured_openalex
W3198377975,2022,A5005626854,Chen Change Loy,I172675005,Nanyang Technological University,education,education,Other,structured_openalex
W3198377975,2022,A5100406050,Ziwei Liu,I172675005,Nanyang Technological University,education,education,Other,structured_openalex
W4288059420,2022,A5018162534,Zichao Wang,I74775410,Rice University,education,education,Other,structured_openalex
W4288059420,2022,A5004845763,Jakob Valdez,I74775410,Rice University,education,education,Other,structured_openalex
W4288059420,2022,A5072713767,Richard G. Baraniuk,I74775410,Rice University,education,education,Other,structured_openalex
W4313334409,2022,A5073309846,Markus Leippold,I202697423,University of Zurich,education,education,Other,structured_openalex
W4313334409,2022,A5073309846,Markus Leippold,I54157616,Swiss Finance Institute,education,education,Other,structured_openalex
W4285020859,2022,A5112307326,Quan Guo,I24185976,Sichuan University,education,education,Other,structured_openalex
W4285020859,2022,A5112307326,Quan Guo,I64852412,Sichuan University of Science and Engineering,education,education,Other,structured_openalex
W4285020859,2022,A5037968183,Shuai Cao,I24185976,Sichuan University,education,education,Other,structured_openalex
W4285020859,2022,A5037968183,Shuai Cao,I64852412,Sichuan University of Science and Engineering,education,education,Other,structured_openalex
W4285020859,2022,A5100388188,Yi Zhang,I24185976,Sichuan University,education,education,Other,structured_openalex
W4285020859,2022,A5100388188,Yi Zhang,I64852412,Sichuan University of Science and Engineering,education,education,Other,structured_openalex
W4287888135,2022,A5055241858,Fédor Moiseev,I4210100430,Google (Switzerland),company,company,Google / Google DeepMind / DeepMind,structured_openalex
W4287888135,2022,A5055241858,Fédor Moiseev,I5124864,École Polytechnique Fédérale de Lausanne,education,education,Other,structured_openalex
W4287888135,2022,A5101842429,Zhe Dong,I4210100430,Google (Switzerland),company,company,Google / Google DeepMind / DeepMind,structured_openalex
W4287888135,2022,A5091708404,Enrique Alfonseca,I4210100430,Google (Switzerland),company,company,Google / Google DeepMind / DeepMind,structured_openalex
W4287888135,2022,A5073756389,Martin Jaggi,I5124864,École Polytechnique Fédérale de Lausanne,education,education,Other,structured_openalex
W4285310604,2022,A5051865195,Gaurav Sahu,I151746483,University of Waterloo,education,education,Other,structured_openalex
W4285310604,2022,A5051865195,Gaurav Sahu,I4210167039,ServiceNow (United States),company,company,Other,structured_openalex
W4285310604,2022,A5103191934,Pau Rodríguez,I151746483,University of Waterloo,education,education,Other,structured_openalex
W4285310604,2022,A5103191934,Pau Rodríguez,I4210167039,ServiceNow (United States),company,company,Other,structured_openalex
W4285310604,2022,A5028905152,Issam Laradji,I151746483,University of Waterloo,education,education,Other,structured_openalex
W4285310604,2022,A5028905152,Issam Laradji,I4210167039,ServiceNow (United States),company,company,Other,structured_openalex
W4285310604,2022,A5076105858,Parmida Atighehchian,I151746483,University of Waterloo,education,education,Other,structured_openalex
W4285310604,2022,A5076105858,Parmida Atighehchian,I4210167039,ServiceNow (United States),company,company,Other,structured_openalex
W4285310604,2022,A5104269345,David Vázquez,I151746483,University of Waterloo,education,education,Other,structured_openalex
W4285310604,2022,A5104269345,David Vázquez,I4210167039,ServiceNow (United States),company,company,Other,structured_openalex
W4285310604,2022,A5010465328,Dzmitry Bahdanau,I151746483,University of Waterloo,education,education,Other,structured_openalex
W4285310604,2022,A5010465328,Dzmitry Bahdanau,I4210167039,ServiceNow (United States),company,company,Other,structured_openalex
W4311408938,2022,A5054520530,Thilo Hagendorff,I100066346,University of Stuttgart,education,education,Other,structured_openalex
W4311408938,2022,A5036718594,Sarah Fabi,I36258959,University of California San Diego,education,education,Other,structured_openalex
W4311408938,2022,A5040448723,Michał Kosiński,I4210137306,Stanford Medicine,healthcare,healthcare,Other,structured_openalex
W4311408938,2022,A5040448723,Michał Kosiński,I97018004,Stanford University,education,education,Other,structured_openalex
W4297243391,2022,A5089823903,Fan Yang,I2250653659,Tencent (China),company,company,Other,structured_openalex
W4297243391,2022,A5074094490,Wenchuan Wang,I183067930,Shanghai Jiao Tong University,education,education,Other,structured_openalex
W4297243391,2022,A5074094490,Wenchuan Wang,I2250653659,Tencent (China),company,company,Other,structured_openalex
W4297243391,2022,A5100321391,Fang Wang,I2250653659,Tencent (China),company,company,Other,structured_openalex
W4297243391,2022,A5102867157,Yuan Fang,I136199984,Harvard University,education,education,Other,structured_openalex
W4297243391,2022,A5102867157,Yuan Fang,I2250653659,Tencent (China),company,company,Other,structured_openalex
W4297243391,2022,A5110628758,Duyu Tang,I2250653659,Tencent (China),company,company,Other,structured_openalex
W4297243391,2022,A5068865316,Junzhou Huang,I189196454,The University of Texas at Arlington,education,education,Other,structured_openalex
W4297243391,2022,A5100716955,Hui Lü,I183067930,Shanghai Jiao Tong University,education,education,Other,structured_openalex
W4297243391,2022,A5100716955,Hui Lü,I4210159420,Shanghai Children's Hospital,healthcare,healthcare,Other,structured_openalex
W4297243391,2022,A5100695406,Jianhua Yao,I2250653659,Tencent (China),company,company,Other,structured_openalex
W4311426581,2022,A5042822346,Stephen MacNeil,I84392919,Temple University,education,education,Other,structured_openalex
W4311426581,2022,A5074358617,Andrew Tran,I84392919,Temple University,education,education,Other,structured_openalex
W4311426581,2022,A5041367899,Juho Leinonen,I9927081,Aalto University,education,education,Other,structured_openalex
W4311426581,2022,A5032890999,Paul Denny,I154130895,University of Auckland,education,education,Other,structured_openalex
W4311426581,2022,A5101999351,Joanne Kim,I84392919,Temple University,education,education,Other,structured_openalex
W4311426581,2022,A5076828114,Arto Hellas,I9927081,Aalto University,education,education,Other,structured_openalex
W4311426581,2022,A5034358464,Seth Bernstein,I84392919,Temple University,education,education,Other,structured_openalex
W4311426581,2022,A5064114707,Sami Sarsa,I9927081,Aalto University,education,education,Other,structured_openalex
W4220993274,2022,A5017166414,Patrick Schramowski,I31512782,Technische Universität Darmstadt,education,education,Other,structured_openalex
W4220993274,2022,A5014107463,Cigdem Turan,I31512782,Technische Universität Darmstadt,education,education,Other,structured_openalex
W4220993274,2022,A5065953403,Nico Andersen,I4210138519,DIPF | Leibniz Institute for Research and Information in Education,facility,research_institute,Other,structured_openalex
W4220993274,2022,A5015277967,Constantin A. Rothkopf,I31512782,Technische Universität Darmstadt,education,education,Other,structured_openalex
W4220993274,2022,A5015277967,Constantin A. Rothkopf,I4392021234,Hessian Center for Artificial Intelligence,facility,research_institute,Other,structured_openalex
W4220993274,2022,A5037636074,Kristian Kersting,I31512782,Technische Universität Darmstadt,education,education,Other,structured_openalex
W4220993274,2022,A5037636074,Kristian Kersting,I4392021234,Hessian Center for Artificial Intelligence,facility,research_institute,Other,structured_openalex
W4309685935,2022,A5074607185,Christian Mayer,I177802217,University of Mannheim,education,education,Other,structured_openalex
W4309685935,2022,A5073683401,Sabrina Ludwig,I177802217,University of Mannheim,education,education,Other,structured_openalex
W4323526518,2022,A5042822346,Stephen MacNeil,I84392919,Temple University,education,education,Other,structured_openalex
W4323526518,2022,A5101999351,Joanne Kim,I84392919,Temple University,education,education,Other,structured_openalex
W4323526518,2022,A5041367899,Juho Leinonen,I9927081,Aalto University,education,education,Other,structured_openalex
W4323526518,2022,A5032890999,Paul Denny,I154130895,University of Auckland,education,education,Other,structured_openalex
W4323526518,2022,A5034358464,Seth Bernstein,I84392919,Temple University,education,education,Other,structured_openalex
W4323526518,2022,A5054692443,Brett A. Becker,I100930933,University College Dublin,education,education,Other,structured_openalex
W4323526518,2022,A5029025369,Michel Wermelinger,I204136569,The Open University,education,education,Other,structured_openalex
W4323526518,2022,A5076828114,Arto Hellas,I9927081,Aalto University,education,education,Other,structured_openalex
W4323526518,2022,A5074358617,Andrew Tran,I84392919,Temple University,education,education,Other,structured_openalex
W4323526518,2022,A5064114707,Sami Sarsa,I9927081,Aalto University,education,education,Other,structured_openalex
W4323526518,2022,A5065053503,James Prather,I60205797,Abilene Christian University,education,education,Other,structured_openalex
W4323526518,2022,A5090940680,Viraj Kumar,I59270414,Indian Institute of Science Bangalore,education,education,Other,structured_openalex
W4285192560,2022,A5089398772,Csaba Veres,I4432739,University of Bergen,education,education,Other,structured_openalex
W4319780902,2022,A5080253648,Rouzbeh Behnia,I59422894,University of South Florida Sarasota–Manatee,education,education,Other,structured_openalex
W4319780902,2022,A5030373297,Mohammadreza Ebrahimi,I2613432,University of South Florida,education,education,Other,structured_openalex
W4319780902,2022,A5021193065,Jason Pacheco,I138006243,University of Arizona,education,education,Other,structured_openalex
W4319780902,2022,A5050411634,Balaji Padmanabhan,I2613432,University of South Florida,education,education,Other,structured_openalex
W4214584464,2022,A5103133745,Xi Yang,I2800717037,University of Florida Health,education,education,Other,structured_openalex
W4214584464,2022,A5103133745,Xi Yang,I33213144,University of Florida,education,education,Other,structured_openalex
W4214584464,2022,A5103133745,Xi Yang,I4390039331,UF Health Cancer Center,healthcare,healthcare,Other,structured_openalex
W4214584464,2022,A5113984587,Nima PourNejatian,I4210127875,Nvidia (United States),company,company,NVIDIA,structured_openalex
W4214584464,2022,A5112748839,Hoo Chang Shin,I4210127875,Nvidia (United States),company,company,NVIDIA,structured_openalex
W4214584464,2022,A5089553213,Kaleb E Smith,I4210127875,Nvidia (United States),company,company,NVIDIA,structured_openalex
W4214584464,2022,A5001562064,Christopher Parisien,I4210127875,Nvidia (United States),company,company,NVIDIA,structured_openalex
W4214584464,2022,A5054618681,Colin B. Compas,I4210127875,Nvidia (United States),company,company,NVIDIA,structured_openalex
W4214584464,2022,A5109204947,Cheryl Martin,I4210127875,Nvidia (United States),company,company,NVIDIA,structured_openalex
W4214584464,2022,A5031887767,Mona G. Flores,I4210127875,Nvidia (United States),company,company,NVIDIA,structured_openalex
W4214584464,2022,A5100386207,Ying Zhang,I33213144,University of Florida,education,education,Other,structured_openalex
W4214584464,2022,A5045150730,Tanja Magoč,I33213144,University of Florida,education,education,Other,structured_openalex
W4214584464,2022,A5017766297,Christopher A. Harle,I33213144,University of Florida,education,education,Other,structured_openalex
W4214584464,2022,A5039309602,Gloria Lipori,I1335043937,UF Health Shands Hospital,healthcare,healthcare,Other,structured_openalex
W4214584464,2022,A5039309602,Gloria Lipori,I2800717037,University of Florida Health,education,education,Other,structured_openalex
W4214584464,2022,A5039309602,Gloria Lipori,I33213144,University of Florida,education,education,Other,structured_openalex
W4214584464,2022,A5039309602,Gloria Lipori,I61515104,University of Florida Health Science Center,education,education,Other,structured_openalex
W4214584464,2022,A5087959258,Duane A. Mitchell,I33213144,University of Florida,education,education,Other,structured_openalex
W4214584464,2022,A5076610873,William R. Hogan,I33213144,University of Florida,education,education,Other,structured_openalex
W4214584464,2022,A5026803588,Elizabeth Shenkman,I33213144,University of Florida,education,education,Other,structured_openalex
W4214584464,2022,A5030951014,Jiang Bian,I2800717037,University of Florida Health,education,education,Other,structured_openalex
W4214584464,2022,A5030951014,Jiang Bian,I33213144,University of Florida,education,education,Other,structured_openalex
W4214584464,2022,A5030951014,Jiang Bian,I4390039331,UF Health Cancer Center,healthcare,healthcare,Other,structured_openalex
W4214584464,2022,A5010253402,Yonghui Wu,I2800717037,University of Florida Health,education,education,Other,structured_openalex
W4214584464,2022,A5010253402,Yonghui Wu,I33213144,University of Florida,education,education,Other,structured_openalex
W4214584464,2022,A5010253402,Yonghui Wu,I4390039331,UF Health Cancer Center,healthcare,healthcare,Other,structured_openalex
W4385567227,2022,A5069646529,Adhiguna Kuncoro,I40120149,University of Oxford,education,education,Other,structured_openalex
W4385567227,2022,A5069646529,Adhiguna Kuncoro,I4210156221,Allen Institute for Artificial Intelligence,nonprofit,nonprofit,Other,structured_openalex
W4385567227,2022,A5063020928,Jordan Hoffmann,I40120149,University of Oxford,education,education,Other,structured_openalex
W4385567227,2022,A5063020928,Jordan Hoffmann,I4210156221,Allen Institute for Artificial Intelligence,nonprofit,nonprofit,Other,structured_openalex
W4385567227,2022,A5038992613,Cyprien de Masson d’Autume,I40120149,University of Oxford,education,education,Other,structured_openalex
W4385567227,2022,A5038992613,Cyprien de Masson d’Autume,I4210156221,Allen Institute for Artificial Intelligence,nonprofit,nonprofit,Other,structured_openalex
W4385567227,2022,A5036811894,Phil Blunsom,I40120149,University of Oxford,education,education,Other,structured_openalex
W4385567227,2022,A5036811894,Phil Blunsom,I4210156221,Allen Institute for Artificial Intelligence,nonprofit,nonprofit,Other,structured_openalex
W4385567227,2022,A5052196188,Aida Nematzadeh,I40120149,University of Oxford,education,education,Other,structured_openalex
W4385567227,2022,A5052196188,Aida Nematzadeh,I4210156221,Allen Institute for Artificial Intelligence,nonprofit,nonprofit,Other,structured_openalex
W4385573069,2022,A5058308999,Tianxiang Sun,I24943067,Fudan University,education,education,Other,structured_openalex
W4385573069,2022,A5058308999,Tianxiang Sun,I66867065,East China Normal University,education,education,Other,structured_openalex
W4385573069,2022,A5083285849,Zhengfu He,I24943067,Fudan University,education,education,Other,structured_openalex
W4385573069,2022,A5083285849,Zhengfu He,I66867065,East China Normal University,education,education,Other,structured_openalex
W4385573069,2022,A5101586921,Hong Qian,I24943067,Fudan University,education,education,Other,structured_openalex
W4385573069,2022,A5101586921,Hong Qian,I66867065,East China Normal University,education,education,Other,structured_openalex
W4385573069,2022,A5102710198,Yunhua Zhou,I24943067,Fudan University,education,education,Other,structured_openalex
W4385573069,2022,A5102710198,Yunhua Zhou,I66867065,East China Normal University,education,education,Other,structured_openalex
W4385573069,2022,A5088834359,Xuanjing Huang,I24943067,Fudan University,education,education,Other,structured_openalex
W4385573069,2022,A5088834359,Xuanjing Huang,I66867065,East China Normal University,education,education,Other,structured_openalex
W4385573069,2022,A5044665993,Xipeng Qiu,I24943067,Fudan University,education,education,Other,structured_openalex
W4385573069,2022,A5044665993,Xipeng Qiu,I66867065,East China Normal University,education,education,Other,structured_openalex
W4287889570,2022,A5062308355,Armanda Lewis,I57206974,New York University,education,education,Other,structured_openalex
W4385573200,2022,A5089522357,Weiyan Shi,I1291425158,Google (United States),company,company,Google / Google DeepMind / DeepMind,structured_openalex
W4385573200,2022,A5089522357,Weiyan Shi,I859038795,Virginia Tech,education,education,Other,structured_openalex
W4385573200,2022,A5051613770,Ryan Shea,I1291425158,Google (United States),company,company,Google / Google DeepMind / DeepMind,structured_openalex
W4385573200,2022,A5051613770,Ryan Shea,I859038795,Virginia Tech,education,education,Other,structured_openalex
W4385573200,2022,A5114526301,Si Chen,I1291425158,Google (United States),company,company,Google / Google DeepMind / DeepMind,structured_openalex
W4385573200,2022,A5114526301,Si Chen,I859038795,Virginia Tech,education,education,Other,structured_openalex
W4385573200,2022,A5016054994,Chiyuan Zhang,I1291425158,Google (United States),company,company,Google / Google DeepMind / DeepMind,structured_openalex
W4385573200,2022,A5016054994,Chiyuan Zhang,I859038795,Virginia Tech,education,education,Other,structured_openalex
W4385573200,2022,A5032275274,Ruoxi Jia,I1291425158,Google (United States),company,company,Google / Google DeepMind / DeepMind,structured_openalex
W4385573200,2022,A5032275274,Ruoxi Jia,I859038795,Virginia Tech,education,education,Other,structured_openalex
W4385573200,2022,A5016175345,Yu Zhou,I1291425158,Google (United States),company,company,Google / Google DeepMind / DeepMind,structured_openalex
W4385573200,2022,A5016175345,Yu Zhou,I859038795,Virginia Tech,education,education,Other,structured_openalex
W4385572879,2022,A5008679414,Jan Philip Wahle,I74656192,University of Göttingen,education,education,Other,structured_openalex
W4385572879,2022,A5081763922,Terry Ruas,I74656192,University of Göttingen,education,education,Other,structured_openalex
W4385572879,2022,A5048288120,Frederic Kirstein,I1332474105,Mercedes-Benz (Germany),company,company,Other,structured_openalex
W4385572879,2022,A5048288120,Frederic Kirstein,I74656192,University of Göttingen,education,education,Other,structured_openalex
W4385572879,2022,A5058837356,Béla Gipp,I74656192,University of Göttingen,education,education,Other,structured_openalex
W4285183888,2022,A5032463780,Debora Nozza,I71209653,Bocconi University,education,education,Other,structured_openalex
W4285183888,2022,A5060377481,Federico Bianchi,I71209653,Bocconi University,education,education,Other,structured_openalex
W4285183888,2022,A5084505122,Dirk Hovy,I71209653,Bocconi University,education,education,Other,structured_openalex
W4317435073,2022,A5080806360,Aleksandr I. Panov,I1313323035,Russian Academy of Sciences,government,government,Other,structured_openalex
W4389009551,2022,A5063269071,Bhavya Bhavya,I157725225,University of Illinois Urbana-Champaign,education,education,Other,structured_openalex
W4389009551,2022,A5030156276,Jinjun Xiong,I63190737,"University at Buffalo, State University of New York",education,education,Other,structured_openalex
W4389009551,2022,A5028518494,ChengXiang Zhai,I157725225,University of Illinois Urbana-Champaign,education,education,Other,structured_openalex
W4283790835,2022,A5065857605,Berkeley R Andrus,I100005738,Brigham Young University,education,education,Other,structured_openalex
W4283790835,2022,A5010623483,Yeganeh Nasiri,I100005738,Brigham Young University,education,education,Other,structured_openalex
W4283790835,2022,A5051955801,Shilong Cui,I100005738,Brigham Young University,education,education,Other,structured_openalex
W4283790835,2022,A5082728985,Benjamin D. Cullen,I100005738,Brigham Young University,education,education,Other,structured_openalex
W4283790835,2022,A5043661073,Nancy Fulda,I100005738,Brigham Young University,education,education,Other,structured_openalex
W4286500588,2022,A5101484037,Zeming Lin,I57206974,New York University,education,education,Other,structured_openalex
W4286500588,2022,A5101484037,Zeming Lin,RAW_META,Meta AI,company,company,Meta,raw_affiliation_rule
W4286500588,2022,A5001757327,Halil Akin,RAW_META,Meta AI,company,company,Meta,raw_affiliation_rule
W4286500588,2022,A5035441206,Roshan Rao,RAW_META,Meta AI,company,company,Meta,raw_affiliation_rule
W4286500588,2022,A5021962955,Brian Hie,RAW_META,Meta AI,company,company,Meta,raw_affiliation_rule
W4286500588,2022,A5026512325,Zhongkai Zhu,RAW_META,Meta AI,company,company,Meta,raw_affiliation_rule
