author_id,author_name,from_year,to_year,from_primary_affiliation,to_primary_affiliation,from_category,to_category,from_target_firm,to_target_firm,changed_affiliation,changed_category,changed_target_firm
A5000377034,Wen-Chin Huang,2022,2024,Nagoya University,Nagoya University,education,education,Other,Other,False,False,False
A5000409439,Jimmy Xiangji Huang,2023,2024,York University,York University,education,education,Other,Other,False,False,False
A5000432413,Kailong Wang,2023,2024,,Huazhong University of Science and Technology,unknown,education,Other,Other,True,True,False
A5000432413,Kailong Wang,2024,2025,Huazhong University of Science and Technology,Huazhong University of Science and Technology,education,education,Other,Other,False,False,False
A5000470166,Yin Xu,2023,2024,Shandong Jiaotong University,Shandong Jiaotong University,education,education,Other,Other,False,False,False
A5000474356,Nan Cao,2024,2025,,Tongji University,unknown,education,Other,Other,True,True,False
A5000474393,Giulia Coco,2023,2025,University of Rome Tor Vergata,University of Rome Tor Vergata,education,education,Other,Other,False,False,False
A5000474748,Lewei Lu,2022,2023,,Group Sense (China),unknown,company,Other,Other,True,True,False
A5000492991,Yuan Yao,2024,2025,National University of Singapore,National University of Singapore,education,education,Other,Other,False,False,False
A5000506964,Tobias Penzkofer,2024,2025,,Charité - Universitätsmedizin Berlin,unknown,healthcare,Other,Other,True,True,False
A5000527699,Francesca Rossi,2022,2024,,,unknown,unknown,Other,Other,False,False,False
A5000530436,Pan Hui,2023,2024,Hong Kong University of Science and Technology,,education,unknown,Other,Other,True,True,False
A5000530436,Pan Hui,2024,2025,,Guangzhou University,unknown,education,Other,Other,True,True,False
A5000564739,Hao Xue,2022,2024,UNSW Sydney,UNSW Sydney,education,education,Other,Other,False,False,False
A5000582109,Zibin Zheng,2024,2025,Sun Yat-sen University,Sun Yat-sen University,education,education,Other,Other,False,False,False
A5000593091,Yuan Yin,2024,2025,Dyson (United Kingdom),Imperial College London,company,education,Other,Other,True,True,False
A5000614737,Rumeysa Bodur,2023,2024,,Imperial College London,unknown,education,Other,Other,True,True,False
A5000623592,Ishan Misra,2022,2023,,Meta AI,unknown,company,Other,Meta,True,True,True
A5000623592,Ishan Misra,2023,2024,Meta AI,,company,unknown,Meta,Other,True,True,True
A5000635267,Vijay Janapa Reddi,2022,2024,,Harvard University Press,unknown,unknown,Other,Other,True,False,False
A5000635267,Vijay Janapa Reddi,2024,2025,Harvard University Press,Harvard University Press,unknown,unknown,Other,Other,False,False,False
A5000640247,Michael Ingrisch,2022,2023,,Ludwig-Maximilians-Universität München,unknown,education,Other,Other,True,True,False
A5000663216,Niklas Boers,2023,2024,,Technical University of Munich,unknown,education,Other,Other,True,True,False
A5000663216,Niklas Boers,2024,2025,Technical University of Munich,Potsdam Institute for Climate Impact Research,education,research_institute,Other,Other,True,True,False
A5000667658,Jian Tang,2022,2023,,,unknown,unknown,Other,Other,False,False,False
A5000678293,Zefeng Li,2023,2024,,Nanyang Technological University,unknown,education,Other,Other,True,True,False
A5000680377,Liang Hong,2022,2024,Chinese University of Hong Kong,Shanghai Jiao Tong University,education,education,Other,Other,True,False,False
A5000703402,Jiaxin Cheng,2022,2023,Sun Yat-sen University,,education,unknown,Other,Other,True,True,False
A5000716736,Jessica Dafflon,2022,2023,National Institute of Mental Health,,research_institute,unknown,Other,Other,True,True,False
A5000716736,Jessica Dafflon,2023,2024,,National Institute of Mental Health,unknown,research_institute,Other,Other,True,True,False
A5000725482,Joseph L. Watson,2022,2023,University of Washington,University of Washington,education,education,Other,Other,False,False,False
A5000725482,Joseph L. Watson,2023,2024,University of Washington,University of Washington,education,education,Other,Other,False,False,False
A5000738730,Julian Martin Eisenschlos,2022,2023,,Duke University,unknown,education,Other,Other,True,True,False
A5000751263,M. R. Narasingarao,2022,2023,GITAM University,GITAM University,education,education,Other,Other,False,False,False
A5000755750,Xiangliang Zhang,2023,2024,University of Notre Dame,,education,unknown,Other,Other,True,True,False
A5000758709,Heta A. Gandhi,2022,2023,University of Rochester,University of Rochester,education,education,Other,Other,False,False,False
A5000776140,Mingquan Lin,2023,2025,Cornell University,University of Minnesota,education,education,Other,Other,True,False,False
A5000794530,Fengtian Chang,2024,2025,Chang'an University,Chang'an University,education,education,Other,Other,False,False,False
A5000816835,Sjoerd van Steenkiste,2023,2025,,,unknown,unknown,Other,Other,False,False,False
A5000819439,Mohammed Eunus Ali,2023,2024,Bangladesh University of Engineering and Technology,Bangladesh University of Engineering and Technology,education,education,Other,Other,False,False,False
A5000827309,Nupur Kumari,2022,2023,,Carnegie Mellon University,unknown,education,Other,Other,True,True,False
A5000827309,Nupur Kumari,2023,2024,Carnegie Mellon University,Carnegie Mellon University,education,education,Other,Other,False,False,False
A5000844861,Ming Yan,2023,2024,,Alibaba Group (United States),unknown,company,Other,Other,True,True,False
A5000863841,Eashan Adhikarla,2023,2024,Lehigh University,Lehigh University,education,education,Other,Other,False,False,False
A5000874697,Jonathan May,2022,2024,,,unknown,unknown,Other,Other,False,False,False
A5000896822,Wayne Wu,2022,2024,,Shanghai Artificial Intelligence Laboratory,unknown,research_institute,Other,Other,True,True,False
A5000932424,Fabian Ferrari,2022,2023,University of Oxford,Utrecht University,education,education,Other,Other,True,False,False
A5000932451,Huangjing Lin,2024,2025,,Chinese University of Hong Kong,unknown,education,Other,Other,True,True,False
A5000937401,Dinggang Shen,2022,2023,United Imaging Healthcare (China),United Imaging Healthcare (China),company,company,Other,Other,False,False,False
A5000937401,Dinggang Shen,2023,2024,United Imaging Healthcare (China),United Imaging Healthcare (China),company,company,Other,Other,False,False,False
A5000937401,Dinggang Shen,2024,2025,United Imaging Healthcare (China),ShanghaiTech University,company,education,Other,Other,True,True,False
A5000947076,Pascal Frossard,2022,2024,,École Polytechnique Fédérale de Lausanne,unknown,education,Other,Other,True,True,False
A5000962921,Wensheng Gan,2023,2024,Jinan University,Jinan University,education,education,Other,Other,False,False,False
A5000970597,Ting Wei,2023,2024,,First Affiliated Hospital of Xi'an Jiaotong University,unknown,healthcare,Other,Other,True,True,False
A5000974457,Matin Amoozadeh,2023,2024,,University of Houston,unknown,education,Other,Other,True,True,False
A5000985327,Chi‐Lin Yu,2024,2025,University of Michigan,Oklahoma State University Oklahoma City,education,education,Other,Other,True,False,False
A5000988165,Kacper Łodzikowski,2023,2024,Adam Mickiewicz University in Poznań,Adam Mickiewicz University in Poznań,education,education,Other,Other,False,False,False
A5001022750,Chandan K. Reddy,2023,2024,Amazon (United States),,company,unknown,Amazon,Other,True,True,True
A5001022750,Chandan K. Reddy,2024,2025,,Virginia Tech,unknown,education,Other,Other,True,True,False
A5001029093,Tom L. Blundell,2022,2024,,University of Cambridge,unknown,education,Other,Other,True,True,False
A5001086152,Jiuhai Chen,2023,2024,,,unknown,unknown,Other,Other,False,False,False
A5001093904,Shane Storks,2022,2023,University of Michigan–Ann Arbor,University of Michigan,education,education,Other,Other,True,False,False
A5001094226,Pranav Rajpurkar,2022,2023,Harvard University,Harvard University,education,education,Other,Other,False,False,False
A5001094226,Pranav Rajpurkar,2023,2024,Harvard University,,education,unknown,Other,Other,True,True,False
A5001094226,Pranav Rajpurkar,2024,2025,,Harvard University,unknown,education,Other,Other,True,True,False
A5001110474,Matthew West,2024,2025,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,education,education,Other,Other,False,False,False
A5001129714,Marcel Binz,2022,2023,Max Planck Institute for Biological Cybernetics,Max Planck Institute for Biological Cybernetics,research_institute,research_institute,Other,Other,False,False,False
A5001129714,Marcel Binz,2023,2024,Max Planck Institute for Biological Cybernetics,Helmholtz Zentrum München,research_institute,research_institute,Other,Other,True,False,False
A5001129714,Marcel Binz,2024,2025,Helmholtz Zentrum München,Helmholtz Zentrum München,research_institute,research_institute,Other,Other,False,False,False
A5001138430,Garima Agrawal,2023,2024,,Arizona State University,unknown,education,Other,Other,True,True,False
A5001174471,Nikolaos Matzakos,2023,2024,School of Pedagogical and Technological Education,School of Pedagogical and Technological Education,education,education,Other,Other,False,False,False
A5001189652,James Maningo,2022,2023,SeaWorld Entertainment,,unknown,unknown,Other,Other,True,False,False
A5001194068,Timothy Telleen-Lawton,2022,2023,,,unknown,unknown,Other,Other,False,False,False
A5001211242,Susan Athey,2022,2025,,Graduate School USA,unknown,education,Other,Other,True,True,False
A5001226970,Yann LeCun,2023,2024,,New York University,unknown,education,Other,Other,True,True,False
A5001226970,Yann LeCun,2024,2025,New York University,,education,unknown,Other,Other,True,True,False
A5001241589,Ziqing Yang,2023,2025,,Helmholtz Center for Information Security,unknown,research_institute,Other,Other,True,True,False
A5001245246,Majd Sakr,2023,2024,Carnegie Mellon University,Carnegie Mellon University,education,education,Other,Other,False,False,False
A5001254143,Luc Van Gool,2022,2023,,KU Leuven,unknown,education,Other,Other,True,True,False
A5001254143,Luc Van Gool,2023,2024,KU Leuven,ETH Zurich,education,education,Other,Other,True,False,False
A5001254143,Luc Van Gool,2024,2025,ETH Zurich,ETH Zurich,education,education,Other,Other,False,False,False
A5001257603,Cynthia L. Bennett,2023,2024,Google (United States),Google (United States),company,company,Google / Google DeepMind / DeepMind,Google / Google DeepMind / DeepMind,False,False,False
A5001257603,Cynthia L. Bennett,2024,2025,Google (United States),Google (United States),company,company,Google / Google DeepMind / DeepMind,Google / Google DeepMind / DeepMind,False,False,False
A5001257783,Su Lin Blodgett,2023,2025,,Microsoft (Canada),unknown,company,Other,Microsoft,True,True,True
A5001282379,Zijian Zhao,2024,2025,,Shenzhen Research Institute of Big Data,unknown,education,Other,Other,True,True,False
A5001285591,Mayuresh Sunil Pardeshi,2022,2025,Tunghai University,University of Petroleum and Energy Studies,education,education,Other,Other,True,False,False
A5001291873,Shinji Watanabe,2022,2024,Carnegie Mellon University,Carnegie Mellon University,education,education,Other,Other,False,False,False
A5001293238,Miloš Hašan,2023,2024,Adobe Systems (United States),Adobe Systems (United States),company,company,Other,Other,False,False,False
A5001300575,Maciej A. Mazurowski,2023,2024,Duke University,Duke University,education,education,Other,Other,False,False,False
A5001300575,Maciej A. Mazurowski,2024,2025,Duke University,Duke University,education,education,Other,Other,False,False,False
A5001303475,James P. Roney,2022,2025,Harvard University Press,,unknown,unknown,Other,Other,True,False,False
A5001311279,Chin‐Wei Huang,2022,2023,,Microsoft (Netherlands),unknown,company,Other,Microsoft,True,True,True
A5001323089,Guido Gabriele,2023,2024,University of Siena,University of Siena,education,education,Other,Other,False,False,False
A5001345589,Duanyu Feng,2023,2024,,,unknown,unknown,Other,Other,False,False,False
A5001362889,Keng‐Boon Ooi,2023,2025,Fore School of Management,Chang Jung Christian University,education,education,Other,Other,True,False,False
A5001375778,Frédéric Jurie,2022,2023,,GREYC,unknown,research_institute,Other,Other,True,True,False
A5001375778,Frédéric Jurie,2023,2024,GREYC,GREYC,research_institute,research_institute,Other,Other,False,False,False
A5001392592,Gad Getz,2022,2023,Broad Institute,Broad Institute,nonprofit,nonprofit,Other,Other,False,False,False
A5001392592,Gad Getz,2023,2024,Broad Institute,Center for Cancer Research,nonprofit,research_institute,Other,Other,True,True,False
A5001421911,Rui Qin,2022,2023,Institute of Automation,Institute of Automation,research_institute,research_institute,Other,Other,False,False,False
A5001422575,Yuwei Wan,2023,2025,,Cardiff University,unknown,education,Other,Other,True,True,False
A5001432896,Shravya Shetty,2023,2025,Google (United States),Google (United States),company,company,Google / Google DeepMind / DeepMind,Google / Google DeepMind / DeepMind,False,False,False
A5001434453,Mingfu Yan,2024,2025,Shenzhen Institutes of Advanced Technology,Shenzhen Institutes of Advanced Technology,research_institute,research_institute,Other,Other,False,False,False
A5001445783,Xiaowei Jia,2023,2025,University of Pittsburgh,University of Pittsburgh,education,education,Other,Other,False,False,False
A5001448076,Dieter Pfoser,2023,2025,George Mason University,George Mason University,education,education,Other,Other,False,False,False
A5001448536,Tianyi Qiu,2024,2025,,,unknown,unknown,Other,Other,False,False,False
A5001452511,Hugo J.W.L. Aerts,2023,2024,Artificial Intelligence in Medicine (Canada),Dana-Farber Cancer Institute,company,research_institute,Other,Other,True,True,False
A5001452511,Hugo J.W.L. Aerts,2024,2025,Dana-Farber Cancer Institute,Dana-Farber Cancer Institute,research_institute,research_institute,Other,Other,False,False,False
A5001497588,Manojit Bhattacharya,2023,2025,Fakir Mohan University,Fakir Mohan University,education,education,Other,Other,False,False,False
A5001522776,Valdemar Danry,2022,2024,Massachusetts Institute of Technology,Human Media,education,nonprofit,Other,Other,True,True,False
A5001544818,Aishwarya Agarwal,2023,2024,,,unknown,unknown,Other,Other,False,False,False
A5001544818,Aishwarya Agarwal,2024,2025,,,unknown,unknown,Other,Other,False,False,False
A5001562064,Christopher Parisien,2022,2023,Nvidia (United States),Nvidia (United States),company,company,NVIDIA,NVIDIA,False,False,False
A5001562402,Paul Testa,2024,2025,New York University,New York University,education,education,Other,Other,False,False,False
A5001571390,Yong Yu,2023,2024,,Shanghai Jiao Tong University,unknown,education,Other,Other,True,True,False
A5001590363,Mitchell Wortsman,2022,2023,,University of Washington,unknown,education,Other,Other,True,True,False
A5001592898,Arfan Ahmed,2023,2024,Weill Cornell Medical College in Qatar,Weill Cornell Medical College in Qatar,education,education,Other,Other,False,False,False
A5001594330,Peter Stone,2022,2023,,,unknown,unknown,Other,Other,False,False,False
A5001594330,Peter Stone,2023,2024,,,unknown,unknown,Other,Other,False,False,False
A5001599037,Peng Xu,2022,2023,,,unknown,unknown,Other,Other,False,False,False
A5001599295,Rick Siow Mong Goh,2024,2025,Institute of High Performance Computing,Institute of High Performance Computing,research_institute,research_institute,Other,Other,False,False,False
A5001612779,Florinel-Alin Croitoru,2022,2023,,University of Bucharest,unknown,education,Other,Other,True,True,False
A5001612779,Florinel-Alin Croitoru,2023,2025,University of Bucharest,University of Bucharest,education,education,Other,Other,False,False,False
A5001644143,Jiangsheng Xu,2023,2024,,,unknown,unknown,Other,Other,False,False,False
A5001682354,Xuehai Pan,2023,2025,,,unknown,unknown,Other,Other,False,False,False
A5001689321,Lucile Saulnier,2023,2024,,,unknown,unknown,Other,Other,False,False,False
A5001691634,Hasan A. Bedel,2022,2023,,Bilkent University,unknown,education,Other,Other,True,True,False
A5001704304,Yikuan Li,2022,2024,Northwestern University,Siemens Healthcare (United States),education,company,Other,Other,True,True,False
A5001707231,Yasumasa Onoe,2022,2023,,Google (United States),unknown,company,Other,Google / Google DeepMind / DeepMind,True,True,True
A5001757327,Halil Akin,2022,2023,Meta AI,Meta AI,company,company,Meta,Meta,False,False,False
A5001774211,Guillaume Jeanneret,2022,2023,,GREYC,unknown,research_institute,Other,Other,True,True,False
A5001774211,Guillaume Jeanneret,2023,2024,GREYC,GREYC,research_institute,research_institute,Other,Other,False,False,False
A5001784951,Ruyang Liu,2023,2024,,Peking University,unknown,education,Other,Other,True,True,False
A5001790767,Pingchuan Ma,2022,2024,Imperial College London,Ludwig-Maximilians-Universität München,education,education,Other,Other,True,False,False
A5001814176,Fabrice André,2024,2025,Institut Gustave Roussy,Institut Gustave Roussy,research_institute,research_institute,Other,Other,False,False,False
A5001814451,L. Jay Guo,2023,2024,,,unknown,unknown,Other,Other,False,False,False
A5001822777,Noor Al-Qaysi,2024,2025,Al-Ayen Iraqi University,Al-Ayen Iraqi University,education,education,Other,Other,False,False,False
A5001857593,Tao Sun,2024,2025,,Beihang University,unknown,education,Other,Other,True,True,False
A5001873096,Tobias Hinz,2022,2023,,Adobe Systems (United States),unknown,company,Other,Other,True,True,False
A5001873096,Tobias Hinz,2023,2024,Adobe Systems (United States),Adobe Systems (United States),company,company,Other,Other,False,False,False
A5001884064,Shayne Longpre,2022,2023,Hugging Face,,company,unknown,Hugging Face,Other,True,True,True
A5001884064,Shayne Longpre,2023,2024,,Massachusetts Institute of Technology,unknown,education,Other,Other,True,True,False
A5001897228,Anton Lykov,2023,2024,,University of Washington,unknown,education,Other,Other,True,True,False
A5001906215,Ming Zhao,2023,2024,University of Delaware,University of Delaware,education,education,Other,Other,False,False,False
A5001922143,Amit H. Bermano,2022,2023,Tel Aviv University,Tel Aviv University,education,education,Other,Other,False,False,False
A5001922143,Amit H. Bermano,2023,2024,Tel Aviv University,Tel Aviv University,education,education,Other,Other,False,False,False
A5001962739,Christoph Haarburger,2022,2023,,,unknown,unknown,Other,Other,False,False,False
A5001967239,Chuhan Wu,2024,2025,Huawei Technologies (China),Huawei Technologies (China),company,company,Other,Other,False,False,False
A5001987532,Mohit Bansal,2022,2023,University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill,education,education,Other,Other,False,False,False
A5001987532,Mohit Bansal,2023,2024,University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill,education,education,Other,Other,False,False,False
A5001987532,Mohit Bansal,2024,2025,University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill,education,education,Other,Other,False,False,False
A5001994692,Esin Durmus,2022,2023,,Stanford University,unknown,education,Other,Other,True,True,False
A5001994692,Esin Durmus,2023,2024,Stanford University,Anthropic,education,company,Other,Anthropic,True,True,True
A5002000099,María Lomelí,2022,2023,,,unknown,unknown,Other,Other,False,False,False
A5002013850,Alex Kim,2023,2024,University of Chicago,University of Chicago,education,education,Other,Other,False,False,False
A5002023162,Michael A. Bernstein,2022,2023,,Georgia Institute of Technology,unknown,education,Other,Other,True,True,False
A5002044458,Qianxiong Xu,2024,2025,Nanyang Technological University,Nanyang Technological University,education,education,Other,Other,False,False,False
A5002047082,Wu‐Yuin Hwang,2022,2024,National Central University,National Central University,education,education,Other,Other,False,False,False
A5002064919,Juntao Tan,2022,2023,"Rutgers, The State University of New Jersey","Rutgers, The State University of New Jersey",education,education,Other,Other,False,False,False
A5002064919,Juntao Tan,2023,2024,"Rutgers, The State University of New Jersey","Rutgers, The State University of New Jersey",education,education,Other,Other,False,False,False
A5002064919,Juntao Tan,2024,2025,"Rutgers, The State University of New Jersey",,education,unknown,Other,Other,True,True,False
A5002068604,Bjoern Menze,2024,2025,University of Zurich,University of Zurich,education,education,Other,Other,False,False,False
A5002072267,Humphrey Shi,2022,2023,,Georgia Institute of Technology,unknown,education,Other,Other,True,True,False
A5002072267,Humphrey Shi,2023,2024,Georgia Institute of Technology,Georgia Institute of Technology,education,education,Other,Other,False,False,False
A5002072267,Humphrey Shi,2024,2025,Georgia Institute of Technology,American Metal Processing (United States),education,company,Other,Other,True,True,False
A5002088849,Jonathan Tow,2022,2023,Machine Intelligence Research Labs,,research_institute,unknown,Other,Other,True,True,False
A5002110023,Wenhui Diao,2023,2024,Aerospace Information Research Institute,Aerospace Information Research Institute,education,education,Other,Other,False,False,False
A5002110023,Wenhui Diao,2024,2025,Aerospace Information Research Institute,Aerospace Information Research Institute,education,education,Other,Other,False,False,False
A5002127145,Seiji Takeda,2022,2023,IBM Research - Tokyo,IBM Research - Tokyo,research_institute,research_institute,Other,Other,False,False,False
A5002158202,J. de Curtò,2023,2025,Goethe University Frankfurt,Barcelona Supercomputing Center,education,research_institute,Other,Other,True,True,False
A5002185558,Toshimasa Matsumoto,2023,2024,Osaka Metropolitan University,Osaka Metropolitan University,education,education,Other,Other,False,False,False
A5002187823,Leo Porter,2024,2025,University of California San Diego,University of California San Diego,education,education,Other,Other,False,False,False
A5002196140,Scott Adams,2024,2025,Stanford Medicine,University of Saskatchewan,healthcare,education,Other,Other,True,True,False
A5002208932,Hui Shen,2023,2024,,,unknown,unknown,Other,Other,False,False,False
A5002211679,Tomasz Korbak,2022,2023,New York University,,education,unknown,Other,Other,True,True,False
A5002223413,Chris Mungall,2023,2024,Lawrence Berkeley National Laboratory,Lawrence Berkeley National Laboratory,research_institute,research_institute,Other,Other,False,False,False
A5002223413,Chris Mungall,2024,2025,Lawrence Berkeley National Laboratory,Lawrence Berkeley National Laboratory,research_institute,research_institute,Other,Other,False,False,False
A5002228469,James M. Rehg,2024,2025,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,education,education,Other,Other,False,False,False
A5002228588,Yaoyiran Li,2023,2025,Language Science (South Korea),Bridge University,company,education,Other,Other,True,True,False
A5002257824,Ishani Mondal,2022,2025,Microsoft Research (United Kingdom),,company,unknown,Microsoft,Other,True,True,True
A5002259351,Paul Martin Putora,2024,2025,University of Bern,University of Bern,education,education,Other,Other,False,False,False
A5002278578,Yezhou Yang,2023,2024,,Arizona State University,unknown,education,Other,Other,True,True,False
A5002281375,Jean Jeudy,2023,2024,"University of Maryland, Baltimore","University of Maryland, Baltimore",education,education,Other,Other,False,False,False
A5002282690,Veda C. Storey,2022,2025,Georgia State University,Georgia State University,education,education,Other,Other,False,False,False
A5002287536,Mojtaba Komeili,2023,2024,,,unknown,unknown,Other,Other,False,False,False
A5002299267,Jiexin Chen,2024,2025,Macao Polytechnic University,Macao Polytechnic University,education,education,Other,Other,False,False,False
A5002311337,Wei Zhao,2023,2024,,Northwestern Polytechnical University,unknown,education,Other,Other,True,True,False
A5002312975,Joshua R. Gubler,2022,2023,,Brigham Young University,unknown,education,Other,Other,True,True,False
A5002316432,Mrinmaya Sachan,2022,2023,,,unknown,unknown,Other,Other,False,False,False
A5002316432,Mrinmaya Sachan,2023,2024,,,unknown,unknown,Other,Other,False,False,False
A5002316432,Mrinmaya Sachan,2024,2025,,ETH Zurich,unknown,education,Other,Other,True,True,False
A5002347902,Katrin Tomanek,2022,2025,Google (United States),Google (United States),company,company,Google / Google DeepMind / DeepMind,Google / Google DeepMind / DeepMind,False,False,False
A5002351623,Jayesh K. Gupta,2023,2025,,Microsoft (United States),unknown,company,Other,Microsoft,True,True,True
A5002359013,Uriah Israel,2023,2025,California Institute of Technology,California Institute of Technology,education,education,Other,Other,False,False,False
A5002409683,Jiale Cheng,2023,2024,Beijing Academy of Artificial Intelligence,,unknown,unknown,Other,Other,True,False,False
A5002409683,Jiale Cheng,2024,2025,,Artificial Intelligence in Medicine (Canada),unknown,company,Other,Other,True,True,False
A5002418313,Robert J. Ragotte,2022,2023,University of Washington,University of Washington,education,education,Other,Other,False,False,False
A5002426438,Yanru Lyu,2022,2023,Beijing Technology and Business University,Beijing Technology and Business University,education,education,Other,Other,False,False,False
A5002429891,Anmol Arora,2022,2023,University of Cambridge,Cambridge School,education,education,Other,Other,True,False,False
A5002451902,Chunyi Li,2023,2024,Shanghai Jiao Tong University,Shanghai Jiao Tong University,education,education,Other,Other,False,False,False
A5002455648,Nasa Sinnott-Armstrong,2024,2025,University of Washington,University of Washington,education,education,Other,Other,False,False,False
A5002459081,Hamed Alemohammad,2023,2024,,Clark University,unknown,education,Other,Other,True,True,False
A5002459081,Hamed Alemohammad,2024,2025,Clark University,Clark University,education,education,Other,Other,False,False,False
A5002464117,Patrick Haller,2023,2024,,Humboldt-Universität zu Berlin,unknown,education,Other,Other,True,True,False
A5002476927,Zhichao Yang,2023,2024,Lanzhou University,Amherst College,education,education,Other,Other,True,False,False
A5002476927,Zhichao Yang,2024,2025,Amherst College,Amherst College,education,education,Other,Other,False,False,False
A5002479852,Jiayu Jiang,2024,2025,South China University of Technology,South China University of Technology,education,education,Other,Other,False,False,False
A5002497004,Jawad Tayyub,2023,2024,,Endress Hauser Messtechnik (Germany),unknown,company,Other,Other,True,True,False
A5002497004,Jawad Tayyub,2024,2025,Endress Hauser Messtechnik (Germany),Endress+Hauser (Switzerland),company,company,Other,Other,True,False,False
A5002530990,Manil Maskey,2023,2024,,Marshall Space Flight Center,unknown,research_institute,Other,Other,True,True,False
A5002530990,Manil Maskey,2024,2025,Marshall Space Flight Center,Marshall Space Flight Center,research_institute,research_institute,Other,Other,False,False,False
A5002531550,Zhenqi Fu,2024,2025,Tsinghua University,Tsinghua University,education,education,Other,Other,False,False,False
A5002548520,Meliha Yetişgen,2024,2025,University of Washington,University of Washington,education,education,Other,Other,False,False,False
A5002556086,Chao Yan,2024,2025,Vanderbilt University Medical Center,Vanderbilt University Medical Center,healthcare,healthcare,Other,Other,False,False,False
A5002562845,Paris Perdikaris,2024,2025,,Microsoft (Netherlands),unknown,company,Other,Microsoft,True,True,True
A5002584135,Zuchao Li,2024,2025,Wuhan University,Wuhan University,education,education,Other,Other,False,False,False
A5002612803,Alexandra Farazouli,2023,2024,Stockholm University,Stockholm University,education,education,Other,Other,False,False,False
A5002614050,Bastian Dislich,2024,2025,,University of Bern,unknown,education,Other,Other,True,True,False
A5002618865,Yong Ma,2024,2025,Wuhan University,Wuhan University,education,education,Other,Other,False,False,False
A5002651535,Rowan Philip Clarke,2023,2024,,Harvard University Press,unknown,unknown,Other,Other,True,False,False
