author_id,author_name,year,all_institution_ids_this_year,all_institution_names_this_year,all_institution_types_this_year,all_target_firm_labels_this_year,has_company_affiliation_this_year,has_education_affiliation_this_year,has_research_institute_affiliation_this_year,has_multiple_affiliations_this_year,has_multiple_categories_this_year,has_company_and_education_this_year,has_company_and_research_institute_this_year,primary_institution_for_display_this_year,primary_institution_id_for_display_this_year,primary_institution_type_for_display_this_year,primary_category_for_display_this_year,primary_target_firm_for_display_this_year,raw_recovered_affiliation_count_this_year
A5000039237,Rebecca Nedellec,2022,I123431417,Scripps Research Institute,nonprofit,Other,False,False,False,False,False,False,False,Scripps Research Institute,I123431417,nonprofit,nonprofit,Other,0
A5000039831,Stevie Bergman,2023,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5000039831,Stevie Bergman,2024,I1291425158;I4210090411,Google (United States);Google DeepMind (United Kingdom),company,Google / Google DeepMind / DeepMind,True,False,False,True,False,False,False,Google (United States),I1291425158,company,company,Google / Google DeepMind / DeepMind,0
A5000043237,Niklas Muennighoff,2022,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5000043237,Niklas Muennighoff,2023,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5000043237,Niklas Muennighoff,2024,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5000043507,Luai A. Ahmed,2023,I201448701;I3143470655,Institute for Health Metrics and Evaluation;University of Washington,education;facility,Other,False,True,True,True,True,False,False,Institute for Health Metrics and Evaluation,I3143470655,facility,research_institute,Other,0
A5000044758,Zedong Huang,2025,I115592961,Jiangsu University,education,Other,False,True,False,False,False,False,False,Jiangsu University,I115592961,education,education,Other,0
A5000044759,Karol Kamiński,2025,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5000045048,Yong Seok Heo,2025,I57664883,Ajou University,education,Other,False,True,False,False,False,False,False,Ajou University,I57664883,education,education,Other,0
A5000045142,Scott W. Cunningham,2023,I107077323;I181369854;I181647926;I39586589;I71052956;I91136226,Friedrich-Alexander-Universität Erlangen-Nürnberg;Swansea University;University of Reading;University of Sheffield;University of Strathclyde;Worcester Polytechnic Institute,education,Other,False,True,False,True,False,False,False,Friedrich-Alexander-Universität Erlangen-Nürnberg,I181369854,education,education,Other,0
A5000048472,Emma Dixon,2025,I8078737,Clemson University,education,Other,False,True,False,False,False,False,False,Clemson University,I8078737,education,education,Other,0
A5000048544,Takao Hiraki,2023,I163770644,Okayama University,education,Other,False,True,False,False,False,False,False,Okayama University,I163770644,education,education,Other,0
A5000048871,Ning Zhang,2025,I14243506,Hong Kong Polytechnic University,education,Other,False,True,False,False,False,False,False,Hong Kong Polytechnic University,I14243506,education,education,Other,0
A5000058783,Lucinda McKnight,2023,I149704539,Deakin University,education,Other,False,True,False,False,False,False,False,Deakin University,I149704539,education,education,Other,0
A5000061162,DongJae Lee,2024,I60922564,Naver (South Korea),company,Other,True,False,False,False,False,False,False,Naver (South Korea),I60922564,company,company,Other,0
A5000066408,Ahmad Faisal Choiril Anam Fathoni,2023,I166073570,Binus University,education,Other,False,True,False,False,False,False,False,Binus University,I166073570,education,education,Other,0
A5000067757,Sejin Paik,2025,I111088046,Boston University,education,Other,False,True,False,False,False,False,False,Boston University,I111088046,education,education,Other,0
A5000067976,Jin-Jian Chen,2022,I183067930,Shanghai Jiao Tong University,education,Other,False,True,False,False,False,False,False,Shanghai Jiao Tong University,I183067930,education,education,Other,0
A5000068327,Petar Risteski,2025,I2799963127;I4210100468,Triemli Hospital;University Hospital of Zurich,funder;healthcare,Other,False,False,False,True,False,False,False,Triemli Hospital,I2799963127,healthcare,healthcare,Other,0
A5000069468,Yining Hong,2023,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5000072353,Gabrielle Quinn,2022,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5000074622,Weizhe Xu,2022,I201448701,University of Washington,education,Other,False,True,False,False,False,False,False,University of Washington,I201448701,education,education,Other,0
A5000080119,Aykut Erdem,2022,I4210103399,Saudi Heart Association,nonprofit,Other,False,False,False,False,False,False,False,Saudi Heart Association,I4210103399,nonprofit,nonprofit,Other,0
A5000080119,Aykut Erdem,2023,I1351752,Koç University,education,Other,False,True,False,False,False,False,False,Koç University,I1351752,education,education,Other,0
A5000083284,Thierry Poibeau,2022,I1294671590;I4210103330,Centre National de la Recherche Scientifique;École Normale Supérieure,education;government,Other,False,True,False,True,True,False,False,École Normale Supérieure,I4210103330,education,education,Other,0
A5000088252,S.L. Chen,2023,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5000091089,Lynn He,2022,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5000092822,Christopher T. Whitlow,2023,I47251452,Wake Forest University,education,Other,False,True,False,False,False,False,False,Wake Forest University,I47251452,education,education,Other,0
A5000092822,Christopher T. Whitlow,2025,I47251452,Wake Forest University,education,Other,False,True,False,False,False,False,False,Wake Forest University,I47251452,education,education,Other,0
A5000094333,Amir M. Rahmani,2025,I204250578;I4210140791,"Irvine University;University of California, Irvine",education,Other,False,True,False,True,False,False,False,Irvine University,I4210140791,education,education,Other,0
A5000095866,Shushman Choudhury,2024,I1291425158,Google (United States),company,Google / Google DeepMind / DeepMind,True,False,False,False,False,False,False,Google (United States),I1291425158,company,company,Google / Google DeepMind / DeepMind,0
A5000099903,Sundeep Rangan,2024,I57206974,New York University,education,Other,False,True,False,False,False,False,False,New York University,I57206974,education,education,Other,0
A5000101528,Majid Bavand,2025,I4210094041,Ericsson (Canada),company,Other,True,False,False,False,False,False,False,Ericsson (Canada),I4210094041,company,company,Other,0
A5000105147,Nisha Devasia,2022,I4210110987;I4210142372,Human Media;IIT@MIT,facility;nonprofit,Other,False,False,True,True,True,False,False,IIT@MIT,I4210110987,facility,research_institute,Other,0
A5000107414,Kehan Li,2023,I20231570,Peking University,education,Other,False,True,False,False,False,False,False,Peking University,I20231570,education,education,Other,0
A5000111344,Richard S. Zemel,2022,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5000111344,Richard S. Zemel,2023,I1311688040,Amazon (United States),company,Amazon,True,False,False,False,False,False,False,Amazon (United States),I1311688040,company,company,Amazon,0
A5000111662,Devansh Arpit,2023,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5000115067,Donald Metzler,2022,I1291425158,Google (United States),company,Google / Google DeepMind / DeepMind,True,False,False,False,False,False,False,Google (United States),I1291425158,company,company,Google / Google DeepMind / DeepMind,0
A5000115067,Donald Metzler,2024,I1291425158,Google (United States),company,Google / Google DeepMind / DeepMind,True,False,False,False,False,False,False,Google (United States),I1291425158,company,company,Google / Google DeepMind / DeepMind,0
A5000115067,Donald Metzler,2025,I1291425158,Google (United States),company,Google / Google DeepMind / DeepMind,True,False,False,False,False,False,False,Google (United States),I1291425158,company,company,Google / Google DeepMind / DeepMind,0
A5000115682,Qing Guo,2025,I40963666,Central China Normal University,education,Other,False,True,False,False,False,False,False,Central China Normal University,I40963666,education,education,Other,0
A5000119667,Luhao Yang,2025,I2799341698;I3133055985,Genedata (Switzerland);Westlake University,company;education,Other,True,True,False,True,True,True,False,Genedata (Switzerland),I2799341698,company,company,Other,0
A5000122127,Zeynab Samei,2023,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5000122127,Zeynab Samei,2024,I4210146419,Institute for Research in Fundamental Sciences,facility,Other,False,False,True,False,False,False,False,Institute for Research in Fundamental Sciences,I4210146419,facility,research_institute,Other,0
A5000122982,Youxin Chen,2025,I183067930;I200296433;I2801228662;I4210144482,Chinese Academy of Medical Sciences & Peking Union Medical College;Peking Union Medical College Hospital;Shanghai Jiao Tong University;Shanghai Sixth People's Hospital,education;healthcare,Other,False,True,False,True,True,False,False,Chinese Academy of Medical Sciences & Peking Union Medical College,I200296433,education,education,Other,0
A5000126238,Yacine Jernite,2022,I4387154989,Hugging Face,company,Hugging Face,True,False,False,False,False,False,False,Hugging Face,I4387154989,company,company,Hugging Face,0
A5000126238,Yacine Jernite,2023,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5000126238,Yacine Jernite,2024,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5000127111,Jin Pan,2024,I27837315;I4210111179,Michigan United;University of Michigan,education;nonprofit,Other,False,True,False,True,True,False,False,University of Michigan,I27837315,education,education,Other,0
A5000132022,Bingyu Dong,2024,I88830068,Shaanxi Normal University,education,Other,False,True,False,False,False,False,False,Shaanxi Normal University,I88830068,education,education,Other,0
A5000133219,Robert Giusti,2022,I4210093804,Accenture (Ireland),company,Other,True,False,False,False,False,False,False,Accenture (Ireland),I4210093804,company,company,Other,0
A5000133452,Kuo Zhang,2024,I200296433,Chinese Academy of Medical Sciences & Peking Union Medical College,education,Other,False,True,False,False,False,False,False,Chinese Academy of Medical Sciences & Peking Union Medical College,I200296433,education,education,Other,0
A5000135593,Aasma Shaukat,2024,I2800015068;I57206974,New York University;VA NY Harbor Healthcare System,education;healthcare,Other,False,True,False,True,True,False,False,New York University,I57206974,education,education,Other,0
A5000136911,Chao Zhang,2024,I126520041;I168719708,City University of Hong Kong;University of Science and Technology of China,education,Other,False,True,False,True,False,False,False,City University of Hong Kong,I168719708,education,education,Other,0
A5000137935,Heliang Sui,2022,I2801345734,China Academy of Engineering Physics,facility,Other,False,False,True,False,False,False,False,China Academy of Engineering Physics,I2801345734,facility,research_institute,Other,0
A5000141628,Xiaodong Gu,2022,I24943067,Fudan University,education,Other,False,True,False,False,False,False,False,Fudan University,I24943067,education,education,Other,0
A5000141831,Yiyu Shi,2023,I107639228,University of Notre Dame,education,Other,False,True,False,False,False,False,False,University of Notre Dame,I107639228,education,education,Other,0
A5000141831,Yiyu Shi,2025,I107639228,University of Notre Dame,education,Other,False,True,False,False,False,False,False,University of Notre Dame,I107639228,education,education,Other,0
A5000142410,Michael Sharman,2024,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5000145305,Jeremy Appleyard,2022,I4210127875,Nvidia (United States),company,NVIDIA,True,False,False,False,False,False,False,Nvidia (United States),I4210127875,company,company,NVIDIA,0
A5000145535,Ping Luo,2023,I4391012619;I889458895,Shanghai Artificial Intelligence Laboratory;University of Hong Kong,education;facility,Other,False,True,True,True,True,False,False,Shanghai Artificial Intelligence Laboratory,I4391012619,facility,research_institute,Other,0
A5000152361,Juliana Ryan,2022,I196829312,La Trobe University,education,Other,False,True,False,False,False,False,False,La Trobe University,I196829312,education,education,Other,0
A5000153218,Si̇nan Sonlu,2025,I168864056,Bilkent University,education,Other,False,True,False,False,False,False,False,Bilkent University,I168864056,education,education,Other,0
A5000155122,Jiru Li,2024,I27357992,Dalian University of Technology,education,Other,False,True,False,False,False,False,False,Dalian University of Technology,I27357992,education,education,Other,0
A5000156461,David Chuan-En Lin,2024,I74973139,Carnegie Mellon University,education,Other,False,True,False,False,False,False,False,Carnegie Mellon University,I74973139,education,education,Other,0
A5000156461,David Chuan-En Lin,2025,I74973139,Carnegie Mellon University,education,Other,False,True,False,False,False,False,False,Carnegie Mellon University,I74973139,education,education,Other,0
A5000157874,Susu Xu,2022,I59553526,Stony Brook University,education,Other,False,True,False,False,False,False,False,Stony Brook University,I59553526,education,education,Other,0
A5000160230,Hiroiko Suwa,2025,I4210126580;I75917431,Nara Institute of Science and Technology;RIKEN Center for Advanced Intelligence Project,education;facility,Other,False,True,True,True,True,False,False,RIKEN Center for Advanced Intelligence Project,I4210126580,facility,research_institute,Other,0
A5000166176,Aaron Rodwell,2023,I2801395776,Wollongong Hospital,healthcare,Other,False,False,False,False,False,False,False,Wollongong Hospital,I2801395776,healthcare,healthcare,Other,0
A5000168148,Kaiqiang Xu,2023,I27357992,Dalian University of Technology,education,Other,False,True,False,False,False,False,False,Dalian University of Technology,I27357992,education,education,Other,0
A5000168915,Devendra Singh Sachan,2022,I4210164802;I5023651,McGill University;Mila - Quebec Artificial Intelligence Institute,education;facility,Other,False,True,True,True,True,False,False,Mila - Quebec Artificial Intelligence Institute,I4210164802,facility,research_institute,Other,0
A5000171711,Milad Moradi,2023,I161878677;I76134821,Austrian Research Institute for Artificial Intelligence;Medical University of Vienna,education;facility,Other,False,True,True,True,True,False,False,Austrian Research Institute for Artificial Intelligence,I161878677,facility,research_institute,Other,0
A5000171711,Milad Moradi,2025,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5000172484,Anukriti Kaushal,2025,I863896202,Delhi Technological University,education,Other,False,True,False,False,False,False,False,Delhi Technological University,I863896202,education,education,Other,0
A5000173131,Anran Li,2024,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5000173131,Anran Li,2025,I32971472,Yale University,education,Other,False,True,False,False,False,False,False,Yale University,I32971472,education,education,Other,0
A5000174202,Moein Heidari,2022,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5000174202,Moein Heidari,2023,I67009956,Iran University of Science and Technology,education,Other,False,True,False,False,False,False,False,Iran University of Science and Technology,I67009956,education,education,Other,0
A5000176767,Evynurul Laily Zen,2022,I102893293,State University of Malang,education,Other,False,True,False,False,False,False,False,State University of Malang,I102893293,education,education,Other,0
A5000181951,Xin Lai,2023,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5000183010,Óscar Villacañas,2022,I4210133197,Clinica Rotger,healthcare,Other,False,False,False,False,False,False,False,Clinica Rotger,I4210133197,healthcare,healthcare,Other,0
A5000183143,Renato Natal Jorge,2022,I182534213,Universidade do Porto,education,Other,False,True,False,False,False,False,False,Universidade do Porto,I182534213,education,education,Other,0
A5000184075,Haoxuan Wu,2025,I168719708,City University of Hong Kong,education,Other,False,True,False,False,False,False,False,City University of Hong Kong,I168719708,education,education,Other,0
A5000184834,Xueting Wang,2023,I4210089607;I4210136457,CyberAgent (Japan);Shibuya (Japan),company,Other,True,False,False,True,False,False,False,CyberAgent (Japan),I4210089607,company,company,Other,0
A5000188096,Shrimai Prabhumoye,2022,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5000190032,Zhien Feng,2022,I183519381;I4210163952,Beijing Obstetrics and Gynecology Hospital;Capital Medical University,education;healthcare,Other,False,True,False,True,True,False,False,Capital Medical University,I183519381,education,education,Other,0
A5000190324,Jared Kramer,2025,I4210089985,Amazon (Germany),company,Amazon,True,False,False,False,False,False,False,Amazon (Germany),I4210089985,company,company,Amazon,0
A5000192505,Stefano Mancini,2024,I202697423,University of Zurich,education,Other,False,True,False,False,False,False,False,University of Zurich,I202697423,education,education,Other,0
A5000192581,Steve Horvath,2024,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5000192888,Hiroaki Ikeda,2022,I43777268,Nagasaki University,education,Other,False,True,False,False,False,False,False,Nagasaki University,I43777268,education,education,Other,0
A5000196131,Yaowei Feng,2024,I21642278,Ningxia University,education,Other,False,True,False,False,False,False,False,Ningxia University,I21642278,education,education,Other,0
A5000197017,Amr Hassan,2022,I201448701;I3143470655,Institute for Health Metrics and Evaluation;University of Washington,education;facility,Other,False,True,True,True,True,False,False,Institute for Health Metrics and Evaluation,I3143470655,facility,research_institute,Other,0
A5000205211,Laura Lavertu,2024,I181647926,University of Strathclyde,education,Other,False,True,False,False,False,False,False,University of Strathclyde,I181647926,education,education,Other,0
A5000205420,Sharifah E. Alhazmi,2023,I199693650,Umm al-Qura University,education,Other,False,True,False,False,False,False,False,Umm al-Qura University,I199693650,education,education,Other,0
A5000207495,Haiying Liang,2022,I8078737,Clemson University,education,Other,False,True,False,False,False,False,False,Clemson University,I8078737,education,education,Other,0
A5000207892,Chenglu Li,2025,I223532165,University of Utah,education,Other,False,True,False,False,False,False,False,University of Utah,I223532165,education,education,Other,0
A5000211688,Daniil Orel,2025,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5000214180,Takahito Fujimori,2024,I4210104391;I98285908,Osaka University;Sakai Municipal Hospital,education;healthcare,Other,False,True,False,True,True,False,False,Osaka University,I98285908,education,education,Other,0
A5000215116,Harald Kittler,2023,I76134821,Medical University of Vienna,education,Other,False,True,False,False,False,False,False,Medical University of Vienna,I76134821,education,education,Other,0
A5000215116,Harald Kittler,2025,I76134821,Medical University of Vienna,education,Other,False,True,False,False,False,False,False,Medical University of Vienna,I76134821,education,education,Other,0
A5000223219,Liang Zhao,2025,I4210100255;I4210128910;I4210156804;I4391012619,Beijing Academy of Artificial Intelligence;First Affiliated Hospital of Zhengzhou University;Group Sense (China);Shanghai Artificial Intelligence Laboratory,company;facility;healthcare;other,Other,True,False,True,True,True,False,True,Group Sense (China),I4210128910,company,company,Other,0
A5000226430,Hongxin Xiang,2024,I16609230,Hunan University,education,Other,False,True,False,False,False,False,False,Hunan University,I16609230,education,education,Other,0
A5000231744,Miles Williams,2024,I91136226,University of Sheffield,education,Other,False,True,False,False,False,False,False,University of Sheffield,I91136226,education,education,Other,0
A5000232184,Koichi Kise,2022,I4387152983;I69740276,Osaka Metropolitan University;Tokyo Metropolitan University,education,Other,False,True,False,True,False,False,False,Osaka Metropolitan University,I4387152983,education,education,Other,0
A5000232528,Yang Feng,2024,I150807315,Guangxi University,education,Other,False,True,False,False,False,False,False,Guangxi University,I150807315,education,education,Other,0
A5000232528,Yang Feng,2025,I150807315,Guangxi University,education,Other,False,True,False,False,False,False,False,Guangxi University,I150807315,education,education,Other,0
A5000235387,Manjun Ma,2022,I1328775524,Zhejiang Sci-Tech University,education,Other,False,True,False,False,False,False,False,Zhejiang Sci-Tech University,I1328775524,education,education,Other,0
A5000240082,Ya-Bo Xie,2025,I37796252;I75390827,Beijing University of Chemical Technology;Beijing University of Technology,education,Other,False,True,False,True,False,False,False,Beijing University of Chemical Technology,I75390827,education,education,Other,0
A5000244644,Max Rollwage,2025,I4210140554,Digital Catapult (United Kingdom),company,Other,True,False,False,False,False,False,False,Digital Catapult (United Kingdom),I4210140554,company,company,Other,0
A5000245150,Alexander J. Smola,2022,I1311688040,Amazon (United States),company,Amazon,True,False,False,False,False,False,False,Amazon (United States),I1311688040,company,company,Amazon,0
A5000245959,Lin Guo,2023,I2801317318;I4210141030;I4210147079,Hospital for Sick Children;Institute for Clinical Evaluative Sciences;SickKids Foundation,funder;healthcare;nonprofit,Other,False,False,False,True,True,False,False,Institute for Clinical Evaluative Sciences,I4210147079,nonprofit,nonprofit,Other,0
A5000245959,Lin Guo,2024,I2801317318;I4210141030;I4210147079,Hospital for Sick Children;Institute for Clinical Evaluative Sciences;SickKids Foundation,funder;healthcare;nonprofit,Other,False,False,False,True,True,False,False,Institute for Clinical Evaluative Sciences,I4210147079,nonprofit,nonprofit,Other,0
A5000249065,Susan K. Seo,2025,I1334819555,Memorial Sloan Kettering Cancer Center,healthcare,Other,False,False,False,False,False,False,False,Memorial Sloan Kettering Cancer Center,I1334819555,healthcare,healthcare,Other,0
A5000250405,Zixi Tuo,2023,I87445476,Xi'an Jiaotong University,education,Other,False,True,False,False,False,False,False,Xi'an Jiaotong University,I87445476,education,education,Other,0
A5000254294,Shahin Mohammadi,2025,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5000254700,Takahiro Itaya,2023,I203951103;I22299242,Keio University;Kyoto University,education,Other,False,True,False,True,False,False,False,Keio University,I203951103,education,education,Other,0
A5000258665,Robin Cosbey,2022,I142606810,Pacific Northwest National Laboratory,facility,Other,False,False,True,False,False,False,False,Pacific Northwest National Laboratory,I142606810,facility,research_institute,Other,0
A5000260621,Keith A. Youker,2025,I1295876152;I205783295,Cornell University;Houston Methodist,education;healthcare,Other,False,True,False,True,True,False,False,Cornell University,I205783295,education,education,Other,0
A5000265897,Roger B. Dannenberg,2024,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5000277651,Gentry Berry,2022,I99041443,Mississippi State University,education,Other,False,True,False,False,False,False,False,Mississippi State University,I99041443,education,education,Other,0
A5000279490,Joanne M. Atlee,2024,I151746483,University of Waterloo,education,Other,False,True,False,False,False,False,False,University of Waterloo,I151746483,education,education,Other,0
A5000280018,Jintian Liang,2022,I1311688040,Amazon (United States),company,Amazon,True,False,False,False,False,False,False,Amazon (United States),I1311688040,company,company,Amazon,0
A5000283424,Muhammad Ibrahim,2022,I1323252656;I2801349156;I83202590,Information Technology University;Jeju National University;University of Haripur,education,Other,False,True,False,True,False,False,False,Information Technology University,I1323252656,education,education,Other,0
A5000283605,Xue‐Hua Du,2022,I37461747,Wuhan University,education,Other,False,True,False,False,False,False,False,Wuhan University,I37461747,education,education,Other,0
A5000290221,Minnet Khan,2022,I119939252;I68891433,Indian Institute of Technology Delhi;Indraprastha Institute of Information Technology Delhi,education,Other,False,True,False,True,False,False,False,Indian Institute of Technology Delhi,I68891433,education,education,Other,0
A5000290961,Suttisak Wizadwongsa,2022,I4210153049,Vidyasirimedhi Institute of Science and Technology,education,Other,False,True,False,False,False,False,False,Vidyasirimedhi Institute of Science and Technology,I4210153049,education,education,Other,0
A5000291379,Felix Morsdorf,2022,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5000295734,Yue Yu,2025,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5000299138,Haoran Tang,2024,I20231570;I4210136793,Peking University;Peng Cheng Laboratory,education;facility,Other,False,True,True,True,True,False,False,Peng Cheng Laboratory,I4210136793,facility,research_institute,Other,0
A5000300454,Saurabh Saxena,2022,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5000300751,Salman Khan,2023,I4210113480,Mohamed bin Zayed University of Artificial Intelligence,education,Other,False,True,False,False,False,False,False,Mohamed bin Zayed University of Artificial Intelligence,I4210113480,education,education,Other,0
A5000300751,Salman Khan,2024,I4210113480,Mohamed bin Zayed University of Artificial Intelligence,education,Other,False,True,False,False,False,False,False,Mohamed bin Zayed University of Artificial Intelligence,I4210113480,education,education,Other,0
A5000300751,Salman Khan,2025,I118347636;I4210113480,Australian National University;Mohamed bin Zayed University of Artificial Intelligence,education,Other,False,True,False,True,False,False,False,Mohamed bin Zayed University of Artificial Intelligence,I4210113480,education,education,Other,0
A5000300840,Dingzirui Wang,2025,I204983213,Harbin Institute of Technology,education,Other,False,True,False,False,False,False,False,Harbin Institute of Technology,I204983213,education,education,Other,0
A5000301628,Sixiang Chen,2025,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5000303572,Xiao Chuan Ran,2024,I157725225,University of Illinois Urbana-Champaign,education,Other,False,True,False,False,False,False,False,University of Illinois Urbana-Champaign,I157725225,education,education,Other,0
A5000304469,Jiaxi Yang,2025,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5000305374,Rahat Khan,2023,I138564716,Prince Mohammad bin Fahd University,education,Other,False,True,False,False,False,False,False,Prince Mohammad bin Fahd University,I138564716,education,education,Other,0
A5000308763,Jie Long Kew,2022,I33849332,University of Malaya,education,Other,False,True,False,False,False,False,False,University of Malaya,I33849332,education,education,Other,0
A5000311674,Fazle Rabbi,2025,I60158472,Concordia University,education,Other,False,True,False,False,False,False,False,Concordia University,I60158472,education,education,Other,0
A5000311824,Alexander Lavin,2025,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
A5000312791,Joya Chen,2025,,,,,False,False,False,False,False,False,False,,,,unknown,Other,0
