method,year,category_pair,edge_count,edge_weight
researcher_edges_author_year_primary_categories,full,government-healthcare,141,141.0
researcher_edges_author_year_primary_categories,full,government-nonprofit,52,52.0
researcher_edges_author_year_primary_categories,full,government-research_institute,1572,1572.0
researcher_edges_author_year_primary_categories,full,government-unknown,475,475.0
researcher_edges_author_year_primary_categories,full,healthcare-healthcare,7427,7427.0
researcher_edges_author_year_primary_categories,full,healthcare-nonprofit,503,503.0
researcher_edges_author_year_primary_categories,full,healthcare-research_institute,2232,2232.0
researcher_edges_author_year_primary_categories,full,healthcare-unknown,2921,2921.0
researcher_edges_author_year_primary_categories,full,nonprofit-nonprofit,7121,7121.0
researcher_edges_author_year_primary_categories,full,nonprofit-research_institute,949,949.0
researcher_edges_author_year_primary_categories,full,nonprofit-unknown,1735,1735.0
researcher_edges_author_year_primary_categories,full,research_institute-research_institute,50148,50148.0
researcher_edges_author_year_primary_categories,full,research_institute-unknown,10157,10157.0
researcher_edges_author_year_primary_categories,full,unknown-unknown,140083,140083.0
papers_all_observed_affiliation_categories,2022,company-company,76,76.0
papers_all_observed_affiliation_categories,2022,company-education,332,332.0
papers_all_observed_affiliation_categories,2022,company-government,30,30.0
papers_all_observed_affiliation_categories,2022,company-healthcare,39,39.0
papers_all_observed_affiliation_categories,2022,company-nonprofit,37,37.0
papers_all_observed_affiliation_categories,2022,company-research_institute,88,88.0
papers_all_observed_affiliation_categories,2022,company-unknown,24,24.0
papers_all_observed_affiliation_categories,2022,education-education,1417,1417.0
papers_all_observed_affiliation_categories,2022,education-government,146,146.0
papers_all_observed_affiliation_categories,2022,education-healthcare,233,233.0
papers_all_observed_affiliation_categories,2022,education-nonprofit,147,147.0
papers_all_observed_affiliation_categories,2022,education-research_institute,427,427.0
papers_all_observed_affiliation_categories,2022,education-unknown,113,113.0
papers_all_observed_affiliation_categories,2022,government-government,4,4.0
papers_all_observed_affiliation_categories,2022,government-healthcare,23,23.0
papers_all_observed_affiliation_categories,2022,government-nonprofit,20,20.0
papers_all_observed_affiliation_categories,2022,government-research_institute,108,108.0
papers_all_observed_affiliation_categories,2022,government-unknown,27,27.0
papers_all_observed_affiliation_categories,2022,healthcare-healthcare,11,11.0
papers_all_observed_affiliation_categories,2022,healthcare-nonprofit,35,35.0
papers_all_observed_affiliation_categories,2022,healthcare-research_institute,73,73.0
papers_all_observed_affiliation_categories,2022,healthcare-unknown,34,34.0
papers_all_observed_affiliation_categories,2022,nonprofit-nonprofit,11,11.0
papers_all_observed_affiliation_categories,2022,nonprofit-research_institute,55,55.0
papers_all_observed_affiliation_categories,2022,nonprofit-unknown,22,22.0
papers_all_observed_affiliation_categories,2022,research_institute-research_institute,36,36.0
papers_all_observed_affiliation_categories,2022,research_institute-unknown,52,52.0
papers_all_observed_affiliation_categories,2022,unknown-unknown,9,9.0
papers_all_observed_affiliation_categories,2023,company-company,95,95.0
papers_all_observed_affiliation_categories,2023,company-education,379,379.0
papers_all_observed_affiliation_categories,2023,company-government,35,35.0
papers_all_observed_affiliation_categories,2023,company-healthcare,53,53.0
papers_all_observed_affiliation_categories,2023,company-nonprofit,39,39.0
papers_all_observed_affiliation_categories,2023,company-research_institute,99,99.0
papers_all_observed_affiliation_categories,2023,company-unknown,34,34.0
papers_all_observed_affiliation_categories,2023,education-education,1321,1321.0
papers_all_observed_affiliation_categories,2023,education-government,136,136.0
papers_all_observed_affiliation_categories,2023,education-healthcare,296,296.0
papers_all_observed_affiliation_categories,2023,education-nonprofit,121,121.0
papers_all_observed_affiliation_categories,2023,education-research_institute,388,388.0
papers_all_observed_affiliation_categories,2023,education-unknown,97,97.0
papers_all_observed_affiliation_categories,2023,government-government,5,5.0
papers_all_observed_affiliation_categories,2023,government-healthcare,20,20.0
papers_all_observed_affiliation_categories,2023,government-nonprofit,12,12.0
papers_all_observed_affiliation_categories,2023,government-research_institute,91,91.0
papers_all_observed_affiliation_categories,2023,government-unknown,21,21.0
papers_all_observed_affiliation_categories,2023,healthcare-healthcare,19,19.0
papers_all_observed_affiliation_categories,2023,healthcare-nonprofit,40,40.0
papers_all_observed_affiliation_categories,2023,healthcare-research_institute,83,83.0
papers_all_observed_affiliation_categories,2023,healthcare-unknown,30,30.0
papers_all_observed_affiliation_categories,2023,nonprofit-nonprofit,16,16.0
papers_all_observed_affiliation_categories,2023,nonprofit-research_institute,46,46.0
papers_all_observed_affiliation_categories,2023,nonprofit-unknown,23,23.0
papers_all_observed_affiliation_categories,2023,research_institute-research_institute,32,32.0
papers_all_observed_affiliation_categories,2023,research_institute-unknown,43,43.0
papers_all_observed_affiliation_categories,2023,unknown-unknown,7,7.0
papers_all_observed_affiliation_categories,2024,company-company,103,103.0
papers_all_observed_affiliation_categories,2024,company-education,476,476.0
papers_all_observed_affiliation_categories,2024,company-government,32,32.0
papers_all_observed_affiliation_categories,2024,company-healthcare,66,66.0
papers_all_observed_affiliation_categories,2024,company-nonprofit,40,40.0
papers_all_observed_affiliation_categories,2024,company-research_institute,98,98.0
papers_all_observed_affiliation_categories,2024,company-unknown,29,29.0
papers_all_observed_affiliation_categories,2024,education-education,1852,1852.0
papers_all_observed_affiliation_categories,2024,education-government,187,187.0
papers_all_observed_affiliation_categories,2024,education-healthcare,387,387.0
papers_all_observed_affiliation_categories,2024,education-nonprofit,142,142.0
papers_all_observed_affiliation_categories,2024,education-research_institute,489,489.0
papers_all_observed_affiliation_categories,2024,education-unknown,133,133.0
papers_all_observed_affiliation_categories,2024,government-government,3,3.0
papers_all_observed_affiliation_categories,2024,government-healthcare,35,35.0
papers_all_observed_affiliation_categories,2024,government-nonprofit,11,11.0
papers_all_observed_affiliation_categories,2024,government-research_institute,137,137.0
papers_all_observed_affiliation_categories,2024,government-unknown,26,26.0
papers_all_observed_affiliation_categories,2024,healthcare-healthcare,42,42.0
papers_all_observed_affiliation_categories,2024,healthcare-nonprofit,52,52.0
papers_all_observed_affiliation_categories,2024,healthcare-research_institute,115,115.0
papers_all_observed_affiliation_categories,2024,healthcare-unknown,55,55.0
papers_all_observed_affiliation_categories,2024,nonprofit-nonprofit,7,7.0
papers_all_observed_affiliation_categories,2024,nonprofit-research_institute,46,46.0
papers_all_observed_affiliation_categories,2024,nonprofit-unknown,22,22.0
papers_all_observed_affiliation_categories,2024,research_institute-research_institute,24,24.0
papers_all_observed_affiliation_categories,2024,research_institute-unknown,58,58.0
papers_all_observed_affiliation_categories,2024,unknown-unknown,8,8.0
papers_all_observed_affiliation_categories,2025,company-company,62,62.0
papers_all_observed_affiliation_categories,2025,company-education,513,513.0
papers_all_observed_affiliation_categories,2025,company-government,46,46.0
papers_all_observed_affiliation_categories,2025,company-healthcare,97,97.0
papers_all_observed_affiliation_categories,2025,company-nonprofit,46,46.0
papers_all_observed_affiliation_categories,2025,company-research_institute,144,144.0
papers_all_observed_affiliation_categories,2025,company-unknown,35,35.0
papers_all_observed_affiliation_categories,2025,education-education,1952,1952.0
papers_all_observed_affiliation_categories,2025,education-government,255,255.0
papers_all_observed_affiliation_categories,2025,education-healthcare,459,459.0
papers_all_observed_affiliation_categories,2025,education-nonprofit,172,172.0
papers_all_observed_affiliation_categories,2025,education-research_institute,573,573.0
papers_all_observed_affiliation_categories,2025,education-unknown,143,143.0
papers_all_observed_affiliation_categories,2025,government-government,4,4.0
papers_all_observed_affiliation_categories,2025,government-healthcare,44,44.0
papers_all_observed_affiliation_categories,2025,government-nonprofit,19,19.0
papers_all_observed_affiliation_categories,2025,government-research_institute,147,147.0
papers_all_observed_affiliation_categories,2025,government-unknown,34,34.0
papers_all_observed_affiliation_categories,2025,healthcare-healthcare,24,24.0
papers_all_observed_affiliation_categories,2025,healthcare-nonprofit,58,58.0
papers_all_observed_affiliation_categories,2025,healthcare-research_institute,126,126.0
papers_all_observed_affiliation_categories,2025,healthcare-unknown,60,60.0
papers_all_observed_affiliation_categories,2025,nonprofit-nonprofit,13,13.0
papers_all_observed_affiliation_categories,2025,nonprofit-research_institute,66,66.0
papers_all_observed_affiliation_categories,2025,nonprofit-unknown,26,26.0
papers_all_observed_affiliation_categories,2025,research_institute-research_institute,35,35.0
papers_all_observed_affiliation_categories,2025,research_institute-unknown,65,65.0
papers_all_observed_affiliation_categories,2025,unknown-unknown,7,7.0
papers_all_observed_affiliation_categories,full,company-company,336,336.0
papers_all_observed_affiliation_categories,full,company-education,1700,1700.0
papers_all_observed_affiliation_categories,full,company-government,143,143.0
papers_all_observed_affiliation_categories,full,company-healthcare,255,255.0
papers_all_observed_affiliation_categories,full,company-nonprofit,162,162.0
papers_all_observed_affiliation_categories,full,company-research_institute,429,429.0
papers_all_observed_affiliation_categories,full,company-unknown,122,122.0
papers_all_observed_affiliation_categories,full,education-education,6542,6542.0
papers_all_observed_affiliation_categories,full,education-government,724,724.0
papers_all_observed_affiliation_categories,full,education-healthcare,1375,1375.0
papers_all_observed_affiliation_categories,full,education-nonprofit,582,582.0
papers_all_observed_affiliation_categories,full,education-research_institute,1877,1877.0
papers_all_observed_affiliation_categories,full,education-unknown,486,486.0
papers_all_observed_affiliation_categories,full,government-government,16,16.0
papers_all_observed_affiliation_categories,full,government-healthcare,122,122.0
papers_all_observed_affiliation_categories,full,government-nonprofit,62,62.0
papers_all_observed_affiliation_categories,full,government-research_institute,483,483.0
papers_all_observed_affiliation_categories,full,government-unknown,108,108.0
papers_all_observed_affiliation_categories,full,healthcare-healthcare,96,96.0
papers_all_observed_affiliation_categories,full,healthcare-nonprofit,185,185.0
papers_all_observed_affiliation_categories,full,healthcare-research_institute,397,397.0
papers_all_observed_affiliation_categories,full,healthcare-unknown,179,179.0
papers_all_observed_affiliation_categories,full,nonprofit-nonprofit,47,47.0
papers_all_observed_affiliation_categories,full,nonprofit-research_institute,213,213.0
papers_all_observed_affiliation_categories,full,nonprofit-unknown,93,93.0
papers_all_observed_affiliation_categories,full,research_institute-research_institute,127,127.0
papers_all_observed_affiliation_categories,full,research_institute-unknown,218,218.0
papers_all_observed_affiliation_categories,full,unknown-unknown,31,31.0
institution_network_edges_paper_level_all_observed_affiliations,full,company-company,486,677.0
institution_network_edges_paper_level_all_observed_affiliations,full,company-education,4555,5872.0
institution_network_edges_paper_level_all_observed_affiliations,full,company-government,207,245.0
institution_network_edges_paper_level_all_observed_affiliations,full,company-healthcare,614,726.0
institution_network_edges_paper_level_all_observed_affiliations,full,company-nonprofit,266,302.0
institution_network_edges_paper_level_all_observed_affiliations,full,company-research_institute,863,974.0
institution_network_edges_paper_level_all_observed_affiliations,full,company-unknown,181,216.0
institution_network_edges_paper_level_all_observed_affiliations,full,education-education,27611,35871.0
institution_network_edges_paper_level_all_observed_affiliations,full,education-government,2660,3491.0
institution_network_edges_paper_level_all_observed_affiliations,full,education-healthcare,9394,12146.0
institution_network_edges_paper_level_all_observed_affiliations,full,education-nonprofit,2511,2911.0
institution_network_edges_paper_level_all_observed_affiliations,full,education-research_institute,9985,11912.0
institution_network_edges_paper_level_all_observed_affiliations,full,education-unknown,1745,2298.0
institution_network_edges_paper_level_all_observed_affiliations,full,government-government,132,181.0
institution_network_edges_paper_level_all_observed_affiliations,full,government-healthcare,429,472.0
institution_network_edges_paper_level_all_observed_affiliations,full,government-nonprofit,153,157.0
institution_network_edges_paper_level_all_observed_affiliations,full,government-research_institute,992,1361.0
institution_network_edges_paper_level_all_observed_affiliations,full,government-unknown,128,185.0
institution_network_edges_paper_level_all_observed_affiliations,full,healthcare-healthcare,2992,3601.0
institution_network_edges_paper_level_all_observed_affiliations,full,healthcare-nonprofit,631,754.0
institution_network_edges_paper_level_all_observed_affiliations,full,healthcare-research_institute,1539,1858.0
institution_network_edges_paper_level_all_observed_affiliations,full,healthcare-unknown,629,794.0
institution_network_edges_paper_level_all_observed_affiliations,full,nonprofit-nonprofit,138,152.0
institution_network_edges_paper_level_all_observed_affiliations,full,nonprofit-research_institute,573,628.0
institution_network_edges_paper_level_all_observed_affiliations,full,nonprofit-unknown,145,175.0
institution_network_edges_paper_level_all_observed_affiliations,full,research_institute-research_institute,1604,1786.0
institution_network_edges_paper_level_all_observed_affiliations,full,research_institute-unknown,438,564.0
institution_network_edges_paper_level_all_observed_affiliations,full,unknown-unknown,49,62.0
institution_network_edges_paper_level_all_observed_affiliations,2022,company-company,146,165.0
institution_network_edges_paper_level_all_observed_affiliations,2022,company-education,1236,1346.0
institution_network_edges_paper_level_all_observed_affiliations,2022,company-government,77,84.0
institution_network_edges_paper_level_all_observed_affiliations,2022,company-healthcare,125,126.0
institution_network_edges_paper_level_all_observed_affiliations,2022,company-nonprofit,69,74.0
institution_network_edges_paper_level_all_observed_affiliations,2022,company-research_institute,307,312.0
institution_network_edges_paper_level_all_observed_affiliations,2022,company-unknown,54,54.0
institution_network_edges_paper_level_all_observed_affiliations,2022,education-education,8089,8682.0
institution_network_edges_paper_level_all_observed_affiliations,2022,education-government,1239,1346.0
institution_network_edges_paper_level_all_observed_affiliations,2022,education-healthcare,2409,2547.0
institution_network_edges_paper_level_all_observed_affiliations,2022,education-nonprofit,820,858.0
institution_network_edges_paper_level_all_observed_affiliations,2022,education-research_institute,4790,4998.0
institution_network_edges_paper_level_all_observed_affiliations,2022,education-unknown,746,795.0
institution_network_edges_paper_level_all_observed_affiliations,2022,government-government,87,103.0
institution_network_edges_paper_level_all_observed_affiliations,2022,government-healthcare,214,216.0
institution_network_edges_paper_level_all_observed_affiliations,2022,government-nonprofit,64,65.0
institution_network_edges_paper_level_all_observed_affiliations,2022,government-research_institute,601,637.0
institution_network_edges_paper_level_all_observed_affiliations,2022,government-unknown,78,86.0
institution_network_edges_paper_level_all_observed_affiliations,2022,healthcare-healthcare,687,700.0
institution_network_edges_paper_level_all_observed_affiliations,2022,healthcare-nonprofit,191,193.0
institution_network_edges_paper_level_all_observed_affiliations,2022,healthcare-research_institute,634,644.0
institution_network_edges_paper_level_all_observed_affiliations,2022,healthcare-unknown,223,229.0
institution_network_edges_paper_level_all_observed_affiliations,2022,nonprofit-nonprofit,22,23.0
institution_network_edges_paper_level_all_observed_affiliations,2022,nonprofit-research_institute,228,230.0
institution_network_edges_paper_level_all_observed_affiliations,2022,nonprofit-unknown,47,47.0
institution_network_edges_paper_level_all_observed_affiliations,2022,research_institute-research_institute,1005,1029.0
institution_network_edges_paper_level_all_observed_affiliations,2022,research_institute-unknown,253,259.0
institution_network_edges_paper_level_all_observed_affiliations,2022,unknown-unknown,23,24.0
institution_network_edges_paper_level_all_observed_affiliations,2023,company-company,107,131.0
institution_network_edges_paper_level_all_observed_affiliations,2023,company-education,1125,1293.0
institution_network_edges_paper_level_all_observed_affiliations,2023,company-government,39,45.0
institution_network_edges_paper_level_all_observed_affiliations,2023,company-healthcare,108,124.0
institution_network_edges_paper_level_all_observed_affiliations,2023,company-nonprofit,68,75.0
institution_network_edges_paper_level_all_observed_affiliations,2023,company-research_institute,182,199.0
institution_network_edges_paper_level_all_observed_affiliations,2023,company-unknown,46,51.0
institution_network_edges_paper_level_all_observed_affiliations,2023,education-education,6956,7993.0
institution_network_edges_paper_level_all_observed_affiliations,2023,education-government,413,493.0
institution_network_edges_paper_level_all_observed_affiliations,2023,education-healthcare,1680,2174.0
institution_network_edges_paper_level_all_observed_affiliations,2023,education-nonprofit,716,781.0
institution_network_edges_paper_level_all_observed_affiliations,2023,education-research_institute,1730,2001.0
institution_network_edges_paper_level_all_observed_affiliations,2023,education-unknown,344,416.0
institution_network_edges_paper_level_all_observed_affiliations,2023,government-government,11,11.0
institution_network_edges_paper_level_all_observed_affiliations,2023,government-healthcare,35,35.0
institution_network_edges_paper_level_all_observed_affiliations,2023,government-nonprofit,39,40.0
institution_network_edges_paper_level_all_observed_affiliations,2023,government-research_institute,137,184.0
institution_network_edges_paper_level_all_observed_affiliations,2023,government-unknown,15,24.0
institution_network_edges_paper_level_all_observed_affiliations,2023,healthcare-healthcare,434,516.0
institution_network_edges_paper_level_all_observed_affiliations,2023,healthcare-nonprofit,110,123.0
institution_network_edges_paper_level_all_observed_affiliations,2023,healthcare-research_institute,201,238.0
institution_network_edges_paper_level_all_observed_affiliations,2023,healthcare-unknown,84,95.0
institution_network_edges_paper_level_all_observed_affiliations,2023,nonprofit-nonprofit,53,57.0
institution_network_edges_paper_level_all_observed_affiliations,2023,nonprofit-research_institute,146,156.0
institution_network_edges_paper_level_all_observed_affiliations,2023,nonprofit-unknown,44,49.0
institution_network_edges_paper_level_all_observed_affiliations,2023,research_institute-research_institute,194,218.0
institution_network_edges_paper_level_all_observed_affiliations,2023,research_institute-unknown,64,85.0
institution_network_edges_paper_level_all_observed_affiliations,2023,unknown-unknown,10,12.0
institution_network_edges_paper_level_all_observed_affiliations,2024,company-company,115,151.0
institution_network_edges_paper_level_all_observed_affiliations,2024,company-education,1074,1288.0
institution_network_edges_paper_level_all_observed_affiliations,2024,company-government,40,44.0
institution_network_edges_paper_level_all_observed_affiliations,2024,company-healthcare,147,171.0
institution_network_edges_paper_level_all_observed_affiliations,2024,company-nonprofit,60,62.0
institution_network_edges_paper_level_all_observed_affiliations,2024,company-research_institute,149,159.0
institution_network_edges_paper_level_all_observed_affiliations,2024,company-unknown,40,50.0
institution_network_edges_paper_level_all_observed_affiliations,2024,education-education,6256,7594.0
institution_network_edges_paper_level_all_observed_affiliations,2024,education-government,484,666.0
institution_network_edges_paper_level_all_observed_affiliations,2024,education-healthcare,2219,2691.0
institution_network_edges_paper_level_all_observed_affiliations,2024,education-nonprofit,486,547.0
institution_network_edges_paper_level_all_observed_affiliations,2024,education-research_institute,1721,2040.0
institution_network_edges_paper_level_all_observed_affiliations,2024,education-unknown,290,408.0
institution_network_edges_paper_level_all_observed_affiliations,2024,government-government,24,32.0
institution_network_edges_paper_level_all_observed_affiliations,2024,government-healthcare,63,76.0
institution_network_edges_paper_level_all_observed_affiliations,2024,government-nonprofit,15,16.0
institution_network_edges_paper_level_all_observed_affiliations,2024,government-research_institute,166,271.0
institution_network_edges_paper_level_all_observed_affiliations,2024,government-unknown,22,36.0
institution_network_edges_paper_level_all_observed_affiliations,2024,healthcare-healthcare,671,776.0
institution_network_edges_paper_level_all_observed_affiliations,2024,healthcare-nonprofit,152,180.0
institution_network_edges_paper_level_all_observed_affiliations,2024,healthcare-research_institute,291,366.0
institution_network_edges_paper_level_all_observed_affiliations,2024,healthcare-unknown,126,174.0
institution_network_edges_paper_level_all_observed_affiliations,2024,nonprofit-nonprofit,26,27.0
institution_network_edges_paper_level_all_observed_affiliations,2024,nonprofit-research_institute,80,84.0
institution_network_edges_paper_level_all_observed_affiliations,2024,nonprofit-unknown,21,30.0
institution_network_edges_paper_level_all_observed_affiliations,2024,research_institute-research_institute,230,246.0
institution_network_edges_paper_level_all_observed_affiliations,2024,research_institute-unknown,61,91.0
institution_network_edges_paper_level_all_observed_affiliations,2024,unknown-unknown,9,14.0
institution_network_edges_paper_level_all_observed_affiliations,2025,company-company,184,230.0
institution_network_edges_paper_level_all_observed_affiliations,2025,company-education,1775,1945.0
institution_network_edges_paper_level_all_observed_affiliations,2025,company-government,68,72.0
institution_network_edges_paper_level_all_observed_affiliations,2025,company-healthcare,284,305.0
institution_network_edges_paper_level_all_observed_affiliations,2025,company-nonprofit,87,91.0
